account_id,arm,disclosure,switching_help,high_switching_cost,sales_contact,fee_salience_index,demand_elasticity_index,switched_plan,chose_low_fee_plan,realized_fee_bps
plan-account-0371,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0372,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0373,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0374,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,88
plan-account-0375,opaque,0,0,1,0,0.25,0.145,0,1,110
plan-account-0376,fee_disclosure,1,0,0,0,0.67,0.635,1,1,92
plan-account-0377,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,128
plan-account-0378,opaque,0,0,0,1,0.13,0.201,0,1,132
plan-account-0379,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0380,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,150
plan-account-0381,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0382,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0383,disclosure_switching_help,1,1,0,1,0.73,0.573,0,0,154
plan-account-0384,opaque,0,0,1,0,0.25,0.145,0,1,90
plan-account-0385,fee_disclosure,1,0,0,0,0.67,0.635,0,0,108
plan-account-0386,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0387,opaque,0,0,0,0,0.25,0.375,1,1,86
plan-account-0388,fee_disclosure,1,0,1,0,0.67,0.405,0,0,112
plan-account-0389,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,84
plan-account-0390,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0391,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0392,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,106
plan-account-0393,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0394,fee_disclosure,1,0,0,1,0.55,0.461,0,1,110
plan-account-0395,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,102
plan-account-0396,opaque,0,0,0,0,0.25,0.375,0,0,134
plan-account-0397,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0398,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,88
plan-account-0399,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0400,fee_disclosure,1,0,1,0,0.67,0.405,0,1,100
plan-account-0401,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,92
plan-account-0402,opaque,0,0,1,1,0.13,0.05,0,1,132
plan-account-0403,fee_disclosure,1,0,0,1,0.55,0.461,1,1,114
plan-account-0404,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,150
plan-account-0405,opaque,0,0,0,1,0.13,0.201,0,1,136
plan-account-0406,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0407,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,154
plan-account-0408,opaque,0,0,1,0,0.25,0.145,0,1,90
plan-account-0409,fee_disclosure,1,0,1,0,0.67,0.405,0,0,108
plan-account-0410,disclosure_switching_help,1,1,0,0,0.85,0.747,0,0,108
plan-account-0411,opaque,0,0,1,0,0.25,0.145,1,1,86
plan-account-0412,fee_disclosure,1,0,0,0,0.67,0.635,0,0,112
plan-account-0413,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,84
plan-account-0414,opaque,0,0,0,1,0.13,0.201,0,0,144
plan-account-0415,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0416,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,106
plan-account-0417,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0418,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0419,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,110
plan-account-0420,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0421,fee_disclosure,1,0,0,0,0.67,0.635,0,1,96
plan-account-0422,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,88
plan-account-0423,opaque,0,0,0,0,0.25,0.375,0,0,138
plan-account-0424,fee_disclosure,1,0,1,0,0.67,0.405,0,1,100
plan-account-0425,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,92
plan-account-0426,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0427,fee_disclosure,1,0,1,1,0.55,0.231,0,1,122
plan-account-0428,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,142
plan-account-0429,opaque,0,0,1,1,0.13,0.05,0,1,136
plan-account-0430,fee_disclosure,1,0,0,1,0.55,0.461,1,1,118
plan-account-0431,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,154
plan-account-0432,opaque,0,0,0,0,0.25,0.375,0,1,90
plan-account-0433,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0434,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,108
plan-account-0435,opaque,0,0,1,0,0.25,0.145,0,1,94
plan-account-0436,fee_disclosure,1,0,1,0,0.67,0.405,0,0,112
plan-account-0437,disclosure_switching_help,1,1,0,0,0.85,0.747,0,0,112
plan-account-0438,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0439,fee_disclosure,1,0,0,1,0.55,0.461,0,0,134
plan-account-0440,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,106
plan-account-0441,opaque,0,0,0,1,0.13,0.201,0,0,148
plan-account-0442,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0443,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,110
plan-account-0444,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0445,fee_disclosure,1,0,1,0,0.67,0.405,0,0,124
plan-account-0446,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,96
plan-account-0447,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0448,fee_disclosure,1,0,0,0,0.67,0.635,0,1,100
plan-account-0449,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,92
plan-account-0450,opaque,0,0,0,1,0.13,0.201,0,0,160
plan-account-0451,fee_disclosure,1,0,1,1,0.55,0.231,0,1,122
plan-account-0452,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,114
plan-account-0453,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0454,fee_disclosure,1,0,1,1,0.55,0.231,0,1,126
plan-account-0455,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,146
plan-account-0456,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0457,fee_disclosure,1,0,0,0,0.67,0.635,1,1,72
plan-account-0458,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,108
plan-account-0459,opaque,0,0,0,0,0.25,0.375,0,1,94
plan-account-0460,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0461,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,112
plan-account-0462,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0463,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0464,disclosure_switching_help,1,1,0,1,0.73,0.573,0,0,134
plan-account-0465,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0466,fee_disclosure,1,0,0,1,0.55,0.461,0,0,138
plan-account-0467,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,110
plan-account-0468,opaque,0,0,0,0,0.25,0.375,1,1,98
plan-account-0469,fee_disclosure,1,0,1,0,0.67,0.405,0,0,124
plan-account-0470,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,96
plan-account-0471,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0472,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0473,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,100
plan-account-0474,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0475,fee_disclosure,1,0,0,1,0.55,0.461,0,1,122
plan-account-0476,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,114
plan-account-0477,opaque,0,0,0,1,0.13,0.201,0,0,164
plan-account-0478,fee_disclosure,1,0,1,1,0.55,0.231,0,1,126
plan-account-0479,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,118
plan-account-0480,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0481,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0482,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,72
plan-account-0483,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0484,fee_disclosure,1,0,0,0,0.67,0.635,1,1,76
plan-account-0485,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,112
plan-account-0486,opaque,0,0,0,1,0.13,0.201,0,1,116
plan-account-0487,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0488,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0489,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0490,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0491,disclosure_switching_help,1,1,0,1,0.73,0.573,0,0,138
plan-account-0492,opaque,0,0,1,0,0.25,0.145,0,1,106
plan-account-0493,fee_disclosure,1,0,0,0,0.67,0.635,0,0,124
plan-account-0494,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,96
plan-account-0495,opaque,0,0,0,0,0.25,0.375,1,1,102
plan-account-0496,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0497,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,100
plan-account-0498,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0499,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0500,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,122
plan-account-0501,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0502,fee_disclosure,1,0,0,1,0.55,0.461,0,1,126
plan-account-0503,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,118
plan-account-0504,opaque,0,0,0,0,0.25,0.375,0,0,118
plan-account-0505,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0506,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,72
plan-account-0507,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0508,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0509,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,76
plan-account-0510,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0511,fee_disclosure,1,0,0,1,0.55,0.461,1,1,98
plan-account-0512,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0513,opaque,0,0,0,1,0.13,0.201,0,1,120
plan-account-0514,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0515,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0516,opaque,0,0,1,0,0.25,0.145,0,1,106
plan-account-0517,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0518,disclosure_switching_help,1,1,0,0,0.85,0.747,0,0,124
plan-account-0519,opaque,0,0,1,0,0.25,0.145,0,1,110
plan-account-0520,fee_disclosure,1,0,0,0,0.67,0.635,0,0,128
plan-account-0521,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,100
plan-account-0522,opaque,0,0,0,1,0.13,0.201,1,0,152
plan-account-0523,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0524,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,122
plan-account-0525,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0526,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0527,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,126
plan-account-0528,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0529,fee_disclosure,1,0,0,0,0.67,0.635,0,1,80
plan-account-0530,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,72
plan-account-0531,opaque,0,0,0,0,0.25,0.375,0,0,122
plan-account-0532,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0533,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,76
plan-account-0534,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0535,fee_disclosure,1,0,1,1,0.55,0.231,0,1,106
plan-account-0536,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,126
plan-account-0537,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0538,fee_disclosure,1,0,0,1,0.55,0.461,0,1,110
plan-account-0539,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0540,opaque,0,0,0,0,0.25,0.375,0,1,106
plan-account-0541,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0542,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,124
plan-account-0543,opaque,0,0,1,0,0.25,0.145,0,1,110
plan-account-0544,fee_disclosure,1,0,1,0,0.67,0.405,0,1,100
plan-account-0545,disclosure_switching_help,1,1,0,0,0.85,0.747,0,0,128
plan-account-0546,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0547,fee_disclosure,1,0,0,1,0.55,0.461,0,0,150
plan-account-0548,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,122
plan-account-0549,opaque,0,0,0,1,0.13,0.201,1,0,156
plan-account-0550,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0551,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,126
plan-account-0552,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0553,fee_disclosure,1,0,1,0,0.67,0.405,0,0,108
plan-account-0554,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,80
plan-account-0555,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0556,fee_disclosure,1,0,0,0,0.67,0.635,0,0,112
plan-account-0557,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,76
plan-account-0558,opaque,0,0,0,1,0.13,0.201,0,0,144
plan-account-0559,fee_disclosure,1,0,1,1,0.55,0.231,0,1,106
plan-account-0560,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,98
plan-account-0561,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0562,fee_disclosure,1,0,1,1,0.55,0.231,0,1,110
plan-account-0563,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,130
plan-account-0564,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0565,fee_disclosure,1,0,0,0,0.67,0.635,0,1,96
plan-account-0566,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,124
plan-account-0567,opaque,0,0,0,0,0.25,0.375,0,1,110
plan-account-0568,fee_disclosure,1,0,1,0,0.67,0.405,0,1,100
plan-account-0569,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,128
plan-account-0570,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0571,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0572,disclosure_switching_help,1,1,0,1,0.73,0.573,0,0,150
plan-account-0573,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0574,fee_disclosure,1,0,0,1,0.55,0.461,0,0,154
plan-account-0575,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,126
plan-account-0576,opaque,0,0,0,0,0.25,0.375,1,1,82
plan-account-0577,fee_disclosure,1,0,1,0,0.67,0.405,0,0,108
plan-account-0578,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0579,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0580,fee_disclosure,1,0,1,0,0.67,0.405,0,0,112
plan-account-0581,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,84
plan-account-0582,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0583,fee_disclosure,1,0,0,1,0.55,0.461,0,0,134
plan-account-0584,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,98
plan-account-0585,opaque,0,0,0,1,0.13,0.201,0,0,148
plan-account-0586,fee_disclosure,1,0,1,1,0.55,0.231,0,1,110
plan-account-0587,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,102
plan-account-0588,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0589,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0590,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,88
plan-account-0591,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0592,fee_disclosure,1,0,0,0,0.67,0.635,0,1,100
plan-account-0593,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,128
plan-account-0594,opaque,0,0,0,1,0.13,0.201,0,1,132
plan-account-0595,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0596,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,150
plan-account-0597,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0598,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0599,disclosure_switching_help,1,1,0,1,0.73,0.573,0,0,154
plan-account-0600,opaque,0,0,1,0,0.25,0.145,0,1,90
plan-account-0601,fee_disclosure,1,0,0,0,0.67,0.635,0,0,108
plan-account-0602,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0603,opaque,0,0,0,0,0.25,0.375,1,1,86
plan-account-0604,fee_disclosure,1,0,1,0,0.67,0.405,0,0,112
plan-account-0605,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,84
plan-account-0606,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0607,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0608,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,106
plan-account-0609,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0610,fee_disclosure,1,0,0,1,0.55,0.461,0,0,138
plan-account-0611,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,102
plan-account-0612,opaque,0,0,0,0,0.25,0.375,0,0,134
plan-account-0613,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0614,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,88
plan-account-0615,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0616,fee_disclosure,1,0,1,0,0.67,0.405,0,1,100
plan-account-0617,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,92
plan-account-0618,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0619,fee_disclosure,1,0,0,1,0.55,0.461,0,1,122
plan-account-0620,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,150
plan-account-0621,opaque,0,0,0,1,0.13,0.201,0,1,136
plan-account-0622,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0623,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,154
plan-account-0624,opaque,0,0,1,0,0.25,0.145,0,1,90
plan-account-0625,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0626,disclosure_switching_help,1,1,0,0,0.85,0.747,0,0,108
plan-account-0627,opaque,0,0,1,0,0.25,0.145,0,1,94
plan-account-0628,fee_disclosure,1,0,0,0,0.67,0.635,0,0,112
plan-account-0629,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,84
plan-account-0630,opaque,0,0,0,1,0.13,0.201,1,0,136
plan-account-0631,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0632,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,106
plan-account-0633,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0634,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0635,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,110
plan-account-0636,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0637,fee_disclosure,1,0,0,0,0.67,0.635,0,0,124
plan-account-0638,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,96
plan-account-0639,opaque,0,0,0,0,0.25,0.375,0,0,138
plan-account-0640,fee_disclosure,1,0,1,0,0.67,0.405,0,1,100
plan-account-0641,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,92
plan-account-0642,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0643,fee_disclosure,1,0,1,1,0.55,0.231,0,1,122
plan-account-0644,disclosure_switching_help,1,1,0,1,0.73,0.573,1,0,142
plan-account-0645,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0646,fee_disclosure,1,0,0,1,0.55,0.461,0,1,126
plan-account-0647,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,154
plan-account-0648,opaque,0,0,0,0,0.25,0.375,0,1,90
plan-account-0649,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0650,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,108
plan-account-0651,opaque,0,0,1,0,0.25,0.145,0,1,94
plan-account-0652,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0653,disclosure_switching_help,1,1,0,0,0.85,0.747,0,0,112
plan-account-0654,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0655,fee_disclosure,1,0,0,1,0.55,0.461,0,0,134
plan-account-0656,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0657,opaque,0,0,0,1,0.13,0.201,1,0,140
plan-account-0658,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0659,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,110
plan-account-0660,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0661,fee_disclosure,1,0,1,0,0.67,0.405,0,0,124
plan-account-0662,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,96
plan-account-0663,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0664,fee_disclosure,1,0,0,0,0.67,0.635,0,0,128
plan-account-0665,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,100
plan-account-0666,opaque,0,0,0,1,0.13,0.201,0,0,160
plan-account-0667,fee_disclosure,1,0,1,1,0.55,0.231,0,1,122
plan-account-0668,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,114
plan-account-0669,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0670,fee_disclosure,1,0,1,1,0.55,0.231,0,1,126
plan-account-0671,disclosure_switching_help,1,1,0,1,0.73,0.573,1,1,118
plan-account-0672,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0673,fee_disclosure,1,0,0,0,0.67,0.635,0,1,80
plan-account-0674,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0675,opaque,0,0,0,0,0.25,0.375,0,1,94
plan-account-0676,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0677,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,112
plan-account-0678,opaque,0,0,1,1,0.13,0.05,0,1,116
plan-account-0679,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0680,disclosure_switching_help,1,1,0,1,0.73,0.573,0,0,134
plan-account-0681,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0682,fee_disclosure,1,0,0,1,0.55,0.461,0,0,138
plan-account-0683,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0684,opaque,0,0,0,0,0.25,0.375,1,1,98
plan-account-0685,fee_disclosure,1,0,1,0,0.67,0.405,0,0,124
plan-account-0686,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,96
plan-account-0687,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0688,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0689,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,100
plan-account-0690,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0691,fee_disclosure,1,0,0,1,0.55,0.461,0,0,150
plan-account-0692,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,122
plan-account-0693,opaque,0,0,0,1,0.13,0.201,0,0,164
plan-account-0694,fee_disclosure,1,0,1,1,0.55,0.231,0,1,126
plan-account-0695,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,118
plan-account-0696,opaque,0,0,1,0,0.25,0.145,0,0,118
plan-account-0697,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0698,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,72
plan-account-0699,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0700,fee_disclosure,1,0,0,0,0.67,0.635,0,1,84
plan-account-0701,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,84
plan-account-0702,opaque,0,0,0,1,0.13,0.201,0,1,116
plan-account-0703,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0704,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0705,opaque,0,0,1,1,0.13,0.05,0,1,120
plan-account-0706,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0707,disclosure_switching_help,1,1,0,1,0.73,0.573,0,0,138
plan-account-0708,opaque,0,0,1,0,0.25,0.145,0,1,106
plan-account-0709,fee_disclosure,1,0,0,0,0.67,0.635,0,0,124
plan-account-0710,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,124
plan-account-0711,opaque,0,0,0,0,0.25,0.375,1,1,102
plan-account-0712,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0713,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,100
plan-account-0714,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0715,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0716,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,122
plan-account-0717,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0718,fee_disclosure,1,0,0,1,0.55,0.461,0,0,154
plan-account-0719,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,126
plan-account-0720,opaque,0,0,0,0,0.25,0.375,0,0,118
plan-account-0721,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0722,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,72
plan-account-0723,opaque,0,0,1,0,0.25,0.145,0,0,122
plan-account-0724,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0725,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,76
plan-account-0726,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0727,fee_disclosure,1,0,0,1,0.55,0.461,0,1,106
plan-account-0728,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0729,opaque,0,0,0,1,0.13,0.201,0,1,120
plan-account-0730,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0731,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0732,opaque,0,0,1,0,0.25,0.145,0,1,106
plan-account-0733,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0734,disclosure_switching_help,1,1,0,0,0.85,0.747,0,0,124
plan-account-0735,opaque,0,0,1,0,0.25,0.145,0,1,110
plan-account-0736,fee_disclosure,1,0,0,0,0.67,0.635,1,1,92
plan-account-0737,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,128
plan-account-0738,opaque,0,0,0,1,0.13,0.201,0,0,160
plan-account-0739,fee_disclosure,1,0,1,1,0.55,0.231,0,0,150
plan-account-0740,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,122
plan-account-0741,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0742,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
