respondent_id,cohort,district,information_treatment,private_support,perceived_peer_support,true_peer_support,baseline_misperception,wife_interested_work,posterior_peer_support,job_matching_signup,followup_job_search,followup_employment
365,6,6,0,0,0.2697,0.6783,0.4086,0,0.2891,1,1,0
366,7,7,1,1,0.5685,0.6850,0.1165,1,0.7769,1,1,0
367,8,8,0,1,0.5314,0.6646,0.1333,1,0.5204,0,1,0
368,1,9,0,1,0.5836,0.7026,0.1190,1,0.6163,1,0,1
369,2,10,0,1,0.2391,0.7579,0.5188,0,0.2361,1,1,0
370,3,11,0,0,0.5055,0.7347,0.2292,1,0.4966,0,1,0
371,4,12,0,0,0.3800,0.6754,0.2954,1,0.3605,1,0,0
372,5,1,1,0,0.3052,0.6686,0.3634,0,0.7120,0,0,0
373,6,2,0,1,0.3972,0.7246,0.3275,1,0.4152,1,1,0
374,7,3,0,1,0.3780,0.6857,0.3077,0,0.3562,0,0,0
375,8,4,0,1,0.5447,0.6656,0.1209,0,0.5436,0,0,0
376,1,5,0,0,0.3814,0.6957,0.3143,1,0.3744,0,0,0
377,2,6,0,0,0.5335,0.6816,0.1481,0,0.5460,0,0,0
378,3,7,1,1,0.5433,0.6626,0.1193,0,0.7488,1,0,1
379,4,8,0,0,0.4832,0.6804,0.1972,1,0.5076,0,0,0
380,5,9,0,0,0.4823,0.7036,0.2212,1,0.4640,0,1,0
381,6,10,0,1,0.5859,0.6841,0.0981,0,0.5984,0,1,0
382,7,11,0,0,0.3054,0.7321,0.4267,1,0.3285,1,1,0
383,8,12,1,1,0.5814,0.6727,0.0914,1,0.8182,1,1,0
384,1,1,1,0,0.3809,0.6956,0.3147,1,0.6834,1,0,0
385,2,2,0,1,0.4338,0.6797,0.2460,1,0.4558,0,0,0
386,3,3,0,0,0.5299,0.7258,0.1959,1,0.5561,0,0,0
387,4,4,0,0,0.4842,0.6784,0.1942,1,0.4622,1,1,0
388,5,5,0,1,0.3786,0.7091,0.3305,0,0.3996,0,1,0
389,6,6,1,0,0.2869,0.6630,0.3761,1,0.6666,1,1,1
390,7,7,0,1,0.4733,0.6999,0.2266,0,0.4852,0,1,0
391,8,8,0,1,0.4689,0.6332,0.1644,1,0.5285,0,0,0
392,1,9,0,1,0.5824,0.7214,0.1391,1,0.5601,1,0,0
393,2,10,0,1,0.5186,0.6742,0.1555,1,0.5293,0,0,0
394,3,11,0,0,0.2153,0.6959,0.4807,1,0.2335,0,0,0
395,4,12,1,1,0.3720,0.6700,0.2979,1,0.7011,0,0,0
396,5,1,0,1,0.6192,0.7325,0.1133,1,0.6450,1,0,1
397,6,2,0,1,0.6102,0.6425,0.0322,0,0.6147,0,0,0
398,7,3,0,1,0.4268,0.6953,0.2685,0,0.4064,1,0,0
399,8,4,0,0,0.4734,0.7125,0.2391,1,0.5192,0,1,0
400,1,5,0,0,0.4868,0.6488,0.1620,1,0.4481,0,0,1
401,2,6,1,1,0.4387,0.6655,0.2268,0,0.7222,0,0,0
402,3,7,0,1,0.4392,0.7419,0.3027,1,0.4655,1,0,0
403,4,8,0,1,0.5536,0.7008,0.1471,1,0.5340,0,0,0
404,5,9,0,0,0.4525,0.6469,0.1943,1,0.4711,1,0,1
405,6,10,0,0,0.3910,0.6998,0.3088,0,0.4458,1,1,0
406,7,11,1,1,0.5569,0.7226,0.1658,1,0.8829,1,1,1
407,8,12,0,1,0.5029,0.6924,0.1895,1,0.5043,0,0,0
408,1,1,0,0,0.3518,0.6812,0.3294,1,0.3301,0,0,0
409,2,2,0,0,0.3230,0.6896,0.3665,1,0.3465,0,0,0
410,3,3,0,1,0.5548,0.6963,0.1414,0,0.5939,0,0,1
411,4,4,0,0,0.3384,0.7078,0.3695,1,0.3254,0,0,0
412,5,5,1,1,0.3850,0.6948,0.3098,0,0.7635,0,1,1
413,6,6,0,1,0.3780,0.7258,0.3477,1,0.3697,1,0,0
414,7,7,0,0,0.3031,0.6766,0.3735,0,0.2718,0,1,1
415,8,8,0,1,0.2403,0.6317,0.3914,1,0.2621,1,0,1
416,1,9,0,0,0.4888,0.6796,0.1907,0,0.5188,1,1,0
417,2,10,0,1,0.3642,0.7030,0.3388,0,0.3947,1,1,0
418,3,11,1,1,0.4069,0.7439,0.3369,0,0.8872,1,1,1
419,4,12,0,1,0.2710,0.6528,0.3818,0,0.2770,0,0,0
420,5,1,0,0,0.2959,0.7121,0.4162,1,0.2995,0,1,1
421,6,2,0,1,0.3845,0.7026,0.3181,0,0.4114,0,0,0
422,7,3,0,1,0.3278,0.7178,0.3900,1,0.3462,1,1,0
423,8,4,1,0,0.3325,0.6334,0.3009,1,0.6784,0,1,0
424,1,5,1,1,0.5350,0.6723,0.1373,1,0.7915,0,1,1
425,2,6,0,1,0.4186,0.7074,0.2888,0,0.4095,0,1,1
426,3,7,0,0,0.4609,0.7384,0.2774,1,0.4540,0,0,0
427,4,8,0,1,0.4515,0.6555,0.2040,1,0.4206,0,1,0
428,5,9,0,1,0.4588,0.7188,0.2600,0,0.4613,0,0,0
429,6,10,1,0,0.4332,0.7069,0.2737,1,0.7746,0,1,0
430,7,11,0,1,0.6124,0.7220,0.1096,1,0.6003,0,1,0
431,8,12,0,1,0.5272,0.7133,0.1861,1,0.5280,0,0,0
432,1,1,0,0,0.4362,0.6583,0.2221,0,0.4731,0,0,0
433,2,2,0,1,0.4244,0.7164,0.2920,0,0.3971,0,1,0
434,3,3,0,1,0.5773,0.7431,0.1658,1,0.5783,1,1,1
435,4,4,1,1,0.3460,0.7103,0.3643,0,0.7108,1,0,0
436,5,5,0,0,0.5042,0.7128,0.2086,1,0.5171,0,0,0
437,6,6,0,0,0.2489,0.7757,0.5268,1,0.2320,1,1,0
438,7,7,0,0,0.3934,0.7138,0.3205,0,0.3607,0,0,0
439,8,8,0,1,0.6635,0.6603,0.0000,0,0.6377,0,0,0
440,1,9,0,1,0.4398,0.6907,0.2509,1,0.4594,0,1,0
441,2,10,1,1,0.4871,0.6963,0.2092,0,0.8186,1,1,0
442,3,11,0,1,0.4519,0.6651,0.2132,1,0.4542,0,0,0
443,4,12,0,0,0.4639,0.6708,0.2069,1,0.4705,0,0,1
444,5,1,0,1,0.5488,0.7140,0.1652,0,0.5291,1,1,0
445,6,2,0,1,0.5258,0.7413,0.2156,0,0.5361,0,0,0
446,7,3,1,1,0.5147,0.7302,0.2155,0,0.7963,0,0,0
447,8,4,0,0,0.3775,0.6817,0.3042,1,0.4094,0,0,0
448,1,5,0,1,0.4277,0.6915,0.2639,1,0.4269,0,0,1
449,2,6,0,1,0.4796,0.7341,0.2545,1,0.4914,0,1,0
450,3,7,0,0,0.2051,0.6875,0.4824,0,0.2317,0,0,1
451,4,8,0,1,0.4251,0.6127,0.1877,1,0.4272,1,1,0
452,5,9,1,1,0.5127,0.6998,0.1871,0,0.7702,0,1,0
453,6,10,0,1,0.4003,0.7054,0.3051,0,0.3970,0,0,0
454,7,11,0,0,0.2574,0.7361,0.4787,0,0.2615,0,0,0
455,8,12,0,1,0.4488,0.7307,0.2819,1,0.5000,0,0,0
456,1,1,0,0,0.4090,0.6761,0.2671,0,0.3927,1,0,0
457,2,2,0,1,0.4290,0.7173,0.2882,0,0.4617,0,0,0
458,3,3,1,0,0.4364,0.6930,0.2565,0,0.8122,0,1,1
459,4,4,0,0,0.3524,0.6886,0.3362,1,0.3388,0,0,1
460,5,5,0,0,0.3816,0.6541,0.2725,1,0.3677,0,0,0
461,6,6,0,1,0.2677,0.7060,0.4383,1,0.2611,0,1,1
462,7,7,0,1,0.4449,0.6909,0.2460,0,0.4427,0,0,0
463,8,8,1,1,0.5215,0.7109,0.1893,1,0.8200,0,1,1
464,1,9,1,1,0.3888,0.7023,0.3135,0,0.7699,1,0,1
465,2,10,0,1,0.5050,0.7042,0.1992,0,0.4828,0,1,0
466,3,11,0,0,0.2860,0.7494,0.4634,1,0.3175,1,1,0
467,4,12,0,1,0.5315,0.6315,0.1001,1,0.5540,1,1,0
468,5,1,0,1,0.4385,0.6679,0.2294,0,0.3906,1,1,1
469,6,2,1,0,0.4246,0.7366,0.3120,1,0.7799,1,1,0
470,7,3,0,1,0.3797,0.7264,0.3467,1,0.3811,0,0,0
471,8,4,0,1,0.4258,0.6227,0.1968,0,0.4468,0,0,0
472,1,5,0,1,0.2173,0.6739,0.4566,1,0.1910,1,0,1
473,2,6,0,1,0.4425,0.7328,0.2903,0,0.4348,0,0,0
474,3,7,0,1,0.3451,0.7247,0.3796,1,0.3805,0,0,0
475,4,8,1,1,0.4850,0.7219,0.2369,1,0.8492,1,1,0
476,5,9,0,1,0.5804,0.6756,0.0952,1,0.5789,1,0,0
477,6,10,0,0,0.3731,0.6654,0.2922,0,0.3036,1,1,1
478,7,11,0,1,0.3858,0.6961,0.3103,0,0.3838,1,1,1
479,8,12,0,1,0.3982,0.6709,0.2727,1,0.3833,1,1,0
480,1,1,0,1,0.3262,0.7127,0.3865,1,0.3630,0,1,0
481,2,2,1,1,0.4972,0.7165,0.2193,0,0.8291,0,0,0
482,3,3,0,1,0.3196,0.6896,0.3700,1,0.3626,0,0,0
483,4,4,0,1,0.4043,0.6415,0.2372,1,0.4284,1,0,0
484,5,5,0,1,0.4196,0.7340,0.3144,0,0.4347,0,0,0
485,6,6,0,1,0.2582,0.7277,0.4695,1,0.2847,0,0,0
486,7,7,1,1,0.3752,0.7263,0.3511,0,0.7170,1,0,0
487,8,8,0,1,0.3958,0.6289,0.2331,1,0.3943,1,1,0
488,1,9,0,1,0.5348,0.7216,0.1868,0,0.5364,0,0,0
489,2,10,0,1,0.4030,0.7056,0.3025,1,0.3868,0,0,0
490,3,11,0,0,0.2733,0.7486,0.4752,0,0.3014,0,0,0
491,4,12,0,0,0.3194,0.6555,0.3360,1,0.3228,0,1,0
492,5,1,1,1,0.5144,0.7610,0.2465,1,0.8122,0,1,0
493,6,2,0,1,0.5075,0.6728,0.1653,1,0.4781,1,1,0
494,7,3,0,0,0.5039,0.6983,0.1944,0,0.5423,1,0,0
495,8,4,0,1,0.4508,0.6992,0.2484,1,0.4273,1,0,0
496,1,5,0,0,0.3017,0.6835,0.3818,1,0.3079,0,0,0
497,2,6,0,1,0.3512,0.7097,0.3585,1,0.3866,1,0,0
498,3,7,1,1,0.4849,0.6942,0.2092,0,0.8170,0,1,0
499,4,8,0,0,0.4117,0.6928,0.2811,1,0.3780,0,1,0
500,5,9,0,1,0.6101,0.6777,0.0676,1,0.6033,1,1,0
501,6,10,0,1,0.2468,0.7201,0.4733,1,0.2223,1,1,0
502,7,11,0,0,0.4103,0.7259,0.3156,0,0.4588,1,0,0
503,8,12,1,1,0.5136,0.6027,0.0891,1,0.7588,0,0,0
504,1,1,1,1,0.4209,0.7320,0.3112,1,0.7268,0,1,0
505,2,2,0,0,0.4068,0.7152,0.3083,1,0.3887,0,0,1
506,3,3,0,1,0.4708,0.7082,0.2374,1,0.4678,0,0,0
507,4,4,0,1,0.4580,0.7118,0.2538,1,0.4147,0,0,0
508,5,5,0,0,0.3672,0.6630,0.2958,1,0.3838,1,0,0
509,6,6,1,1,0.3137,0.6998,0.3861,1,0.6738,1,0,0
510,7,7,0,1,0.4789,0.7233,0.2444,1,0.4504,1,1,0
511,8,8,0,1,0.3367,0.6310,0.2943,0,0.3524,0,0,0
512,1,9,0,0,0.4139,0.6868,0.2729,0,0.3627,0,0,1
513,2,10,0,0,0.3439,0.6761,0.3322,0,0.3090,0,0,0
514,3,11,0,0,0.4726,0.7132,0.2406,0,0.4765,0,0,1
515,4,12,1,1,0.5779,0.6844,0.1065,1,0.8140,0,1,1
516,5,1,0,0,0.2753,0.6331,0.3578,1,0.2486,0,1,1
517,6,2,0,0,0.2056,0.6897,0.4841,0,0.2119,0,0,0
518,7,3,0,1,0.4944,0.7469,0.2525,1,0.4484,0,0,0
519,8,4,0,1,0.7636,0.6853,0.0000,0,0.7703,0,0,0
520,1,5,0,1,0.2562,0.6578,0.4016,1,0.2479,1,1,0
521,2,6,1,1,0.4311,0.7240,0.2929,0,0.7362,0,0,0
522,3,7,0,1,0.3408,0.7253,0.3845,0,0.3546,1,0,1
523,4,8,0,1,0.4853,0.6384,0.1531,0,0.4670,0,0,0
524,5,9,0,0,0.3699,0.6858,0.3160,0,0.3815,0,1,0
525,6,10,0,0,0.2984,0.7161,0.4177,1,0.3086,0,1,0
526,7,11,1,0,0.3852,0.7261,0.3409,0,0.7264,0,0,0
527,8,12,0,0,0.3851,0.6401,0.2550,0,0.3776,0,0,0
528,1,1,0,1,0.2951,0.6451,0.3501,0,0.2871,1,1,0
529,2,2,0,0,0.4520,0.7304,0.2783,1,0.4776,0,1,1
530,3,3,0,1,0.5582,0.7803,0.2221,1,0.5562,1,1,1
531,4,4,0,1,0.4098,0.6815,0.2718,0,0.3988,1,1,0
532,5,5,1,0,0.4129,0.6649,0.2520,1,0.7789,0,1,0
533,6,6,0,0,0.2612,0.6700,0.4087,0,0.3035,0,0,0
534,7,7,0,1,0.3307,0.6798,0.3490,0,0.3085,0,0,0
535,8,8,0,0,0.1296,0.7190,0.5894,1,0.1258,1,0,0
536,1,9,0,1,0.6736,0.6704,0.0000,1,0.6927,0,1,0
537,2,10,0,0,0.0964,0.7197,0.6233,0,0.1519,0,0,1
538,3,11,1,0,0.3799,0.6706,0.2907,0,0.7185,0,0,0
539,4,12,0,1,0.2069,0.6261,0.4193,1,0.2164,0,0,0
540,5,1,0,1,0.3656,0.7012,0.3356,1,0.3258,1,0,0
541,6,2,0,1,0.4805,0.7162,0.2356,0,0.4252,0,0,0
542,7,3,0,1,0.6633,0.6698,0.0065,1,0.6479,0,0,0
543,8,4,1,0,0.4144,0.6610,0.2466,0,0.7371,1,0,0
544,1,5,1,1,0.3983,0.7375,0.3392,1,0.7863,1,1,1
545,2,6,0,1,0.3671,0.6767,0.3096,1,0.3811,1,0,0
546,3,7,0,1,0.3850,0.7452,0.3602,1,0.4036,1,0,0
547,4,8,0,0,0.5983,0.6650,0.0667,1,0.5786,0,1,0
548,5,9,0,1,0.6530,0.6719,0.0188,1,0.6593,0,1,1
549,6,10,1,1,0.4559,0.7110,0.2551,1,0.7640,1,1,1
550,7,11,0,1,0.4708,0.7044,0.2336,1,0.4527,0,1,0
551,8,12,0,1,0.3953,0.6463,0.2510,0,0.4476,1,1,0
552,1,1,0,1,0.5067,0.6926,0.1859,0,0.4814,0,1,0
553,2,2,0,1,0.4392,0.6797,0.2405,0,0.4317,0,0,0
554,3,3,0,1,0.4436,0.6971,0.2535,1,0.4150,0,1,1
555,4,4,1,1,0.4103,0.6842,0.2739,1,0.7462,1,0,0
556,5,5,0,1,0.2899,0.6789,0.3890,1,0.2639,1,0,1
557,6,6,0,1,0.3881,0.7327,0.3445,1,0.3540,0,0,1
558,7,7,0,1,0.4905,0.7422,0.2517,1,0.4822,0,1,0
559,8,8,0,0,0.4246,0.6324,0.2078,1,0.4025,1,0,0
560,1,9,0,1,0.4066,0.6712,0.2646,1,0.3698,1,1,0
561,2,10,1,0,0.2448,0.7012,0.4563,1,0.6778,1,1,1
562,3,11,0,1,0.3578,0.7391,0.3813,1,0.3673,0,0,0
563,4,12,0,1,0.4811,0.6613,0.1801,1,0.4603,0,1,1
564,5,1,0,0,0.3991,0.6192,0.2201,0,0.4161,1,0,0
565,6,2,0,1,0.3935,0.7345,0.3411,1,0.4071,1,0,0
566,7,3,1,0,0.4638,0.7182,0.2545,1,0.7541,0,1,1
567,8,4,0,1,0.4953,0.6894,0.1941,1,0.4910,0,1,0
568,1,5,0,1,0.4351,0.6850,0.2498,0,0.4618,0,0,0
569,2,6,0,1,0.4751,0.6617,0.1866,1,0.5032,0,0,1
570,3,7,0,1,0.4229,0.7259,0.3030,1,0.4010,1,0,0
571,4,8,0,0,0.4111,0.6502,0.2390,1,0.3776,0,0,1
572,5,9,1,1,0.4280,0.6607,0.2327,1,0.7533,1,0,0
573,6,10,0,1,0.2541,0.6184,0.3642,1,0.2137,1,0,0
574,7,11,0,1,0.2841,0.7089,0.4248,1,0.2706,0,0,0
575,8,12,0,1,0.3534,0.6320,0.2786,1,0.3691,1,1,0
576,1,1,0,0,0.3706,0.6805,0.3099,0,0.3930,0,1,0
577,2,2,0,1,0.4847,0.6821,0.1974,1,0.5371,1,0,0
578,3,3,1,1,0.5423,0.6680,0.1257,1,0.7721,1,1,0
579,4,4,0,1,0.3420,0.6211,0.2791,1,0.3603,0,1,0
580,5,5,0,1,0.3611,0.7014,0.3403,1,0.3683,1,0,0
581,6,6,0,0,0.3101,0.7155,0.4054,0,0.2814,1,1,0
582,7,7,0,1,0.3651,0.7245,0.3594,1,0.3608,0,1,0
583,8,8,1,0,0.3620,0.7423,0.3803,1,0.8000,1,1,1
584,1,9,1,1,0.4356,0.7204,0.2848,0,0.7882,1,0,0
585,2,10,0,1,0.3276,0.7366,0.4090,1,0.3130,0,1,0
586,3,11,0,0,0.2882,0.7039,0.4157,0,0.2868,0,0,1
587,4,12,0,0,0.4225,0.7371,0.3146,1,0.4012,0,0,1
588,5,1,0,1,0.4832,0.6700,0.1868,0,0.4850,0,1,0
589,6,2,1,0,0.3377,0.6702,0.3324,0,0.7051,0,0,0
590,7,3,0,1,0.4260,0.6993,0.2733,1,0.4319,0,1,0
591,8,4,0,1,0.3701,0.6987,0.3287,1,0.3949,1,1,1
592,1,5,0,0,0.3474,0.7137,0.3663,0,0.3694,0,0,0
593,2,6,0,1,0.3915,0.7070,0.3155,1,0.3929,1,1,0
594,3,7,0,1,0.6622,0.6656,0.0033,1,0.6824,0,0,0
595,4,8,1,0,0.2046,0.6603,0.4557,1,0.6375,1,1,0
596,5,9,0,1,0.4521,0.6726,0.2206,1,0.4943,0,0,0
597,6,10,0,1,0.4909,0.6561,0.1652,1,0.4914,1,1,1
598,7,11,0,1,0.3129,0.6526,0.3397,1,0.3421,0,0,0
599,8,12,0,0,0.2069,0.6793,0.4723,0,0.2455,0,1,1
600,1,1,0,1,0.6043,0.7569,0.1526,0,0.5953,0,0,0
601,2,2,1,0,0.3038,0.7136,0.4098,1,0.7414,1,0,0
602,3,3,0,0,0.4962,0.6741,0.1780,0,0.5044,0,0,0
603,4,4,0,1,0.4979,0.6836,0.1856,0,0.5464,1,0,0
604,5,5,0,1,0.4544,0.6582,0.2038,0,0.4293,0,0,1
605,6,6,0,0,0.3065,0.6228,0.3163,1,0.2918,0,0,0
606,7,7,1,1,0.2901,0.7205,0.4304,1,0.6870,1,0,0
607,8,8,0,1,0.3703,0.6952,0.3249,0,0.3915,1,1,0
608,1,9,0,0,0.3894,0.6826,0.2932,0,0.3853,0,0,0
609,2,10,0,0,0.3638,0.6707,0.3070,0,0.4031,0,0,1
610,3,11,0,1,0.4758,0.7159,0.2401,1,0.4481,1,1,0
611,4,12,0,1,0.4754,0.6727,0.1973,0,0.4927,1,1,1
612,5,1,1,1,0.4946,0.7228,0.2281,1,0.7559,0,0,0
613,6,2,0,0,0.3111,0.7339,0.4228,1,0.3289,0,1,1
614,7,3,0,1,0.5155,0.7087,0.1933,1,0.4663,0,1,0
615,8,4,0,1,0.5765,0.6521,0.0756,0,0.5399,1,1,0
616,1,5,0,0,0.4046,0.7310,0.3264,1,0.4391,1,1,1
617,2,6,0,1,0.3237,0.7401,0.4165,0,0.3226,1,1,0
618,3,7,1,1,0.3142,0.7339,0.4197,1,0.6870,0,0,1
619,4,8,0,1,0.4878,0.6645,0.1767,0,0.4449,0,0,1
620,5,9,0,0,0.4082,0.6326,0.2244,0,0.3796,0,0,0
621,6,10,0,1,0.5125,0.6826,0.1701,1,0.4967,1,1,0
622,7,11,0,0,0.2632,0.6934,0.4302,0,0.2248,0,0,0
623,8,12,1,1,0.4604,0.6368,0.1764,1,0.7570,0,0,0
624,1,1,1,1,0.2603,0.7509,0.4906,0,0.6965,1,0,0
625,2,2,0,1,0.3823,0.7268,0.3445,0,0.4032,0,1,0
626,3,3,0,1,0.6237,0.7431,0.1194,1,0.6622,1,0,0
627,4,4,0,1,0.3942,0.6641,0.2699,1,0.3945,0,1,0
628,5,5,0,1,0.4482,0.6932,0.2450,0,0.4439,0,0,0
629,6,6,1,1,0.3961,0.7060,0.3099,0,0.7289,1,0,0
630,7,7,0,1,0.3230,0.7467,0.4237,1,0.3159,0,0,0
631,8,8,0,1,0.5217,0.6756,0.1538,0,0.5335,0,0,1
632,1,9,0,1,0.4677,0.6676,0.1999,1,0.4826,0,1,0
633,2,10,0,1,0.3060,0.7093,0.4033,1,0.2507,0,0,0
634,3,11,0,0,0.3035,0.7378,0.4343,1,0.2807,0,1,0
635,4,12,1,1,0.3931,0.6338,0.2407,1,0.7281,1,1,1
636,5,1,0,0,0.4006,0.7341,0.3335,1,0.4078,0,0,0
637,6,2,0,1,0.3427,0.7239,0.3811,1,0.3275,1,1,0
638,7,3,0,1,0.6650,0.7044,0.0394,0,0.6523,1,0,0
639,8,4,0,0,0.3530,0.6897,0.3367,0,0.3573,0,1,1
640,1,5,0,1,0.4777,0.6185,0.1408,1,0.4705,1,0,0
641,2,6,1,1,0.3857,0.7117,0.3260,1,0.6876,0,0,0
642,3,7,0,0,0.1878,0.7212,0.5334,1,0.1972,0,1,0
643,4,8,0,1,0.4568,0.6440,0.1872,1,0.4657,0,0,0
644,5,9,0,1,0.6341,0.6949,0.0608,1,0.6491,1,0,0
645,6,10,0,1,0.6243,0.6978,0.0735,1,0.6456,0,0,0
646,7,11,1,1,0.5766,0.7651,0.1885,1,0.8358,1,0,1
647,8,12,0,1,0.4265,0.6525,0.2260,1,0.4447,1,0,0
648,1,1,0,0,0.3572,0.6724,0.3153,1,0.3755,0,1,0
649,2,2,0,0,0.3902,0.7460,0.3558,0,0.3989,0,0,1
650,3,3,0,0,0.2999,0.7465,0.4465,0,0.3037,0,0,1
651,4,4,0,0,0.4358,0.7397,0.3038,1,0.4576,1,1,1
652,5,5,1,0,0.2248,0.6729,0.4481,0,0.6951,0,0,0
653,6,6,0,1,0.3359,0.6264,0.2904,1,0.3678,1,1,1
654,7,7,0,0,0.2052,0.7526,0.5474,1,0.2001,0,0,0
655,8,8,0,0,0.2946,0.6769,0.3824,1,0.3080,0,0,0
656,1,9,0,1,0.5848,0.6813,0.0964,0,0.6136,0,0,0
657,2,10,0,0,0.4225,0.7240,0.3015,0,0.4317,0,0,0
658,3,11,1,1,0.5882,0.7241,0.1359,0,0.8050,0,0,0
659,4,12,0,0,0.3073,0.7218,0.4145,0,0.3284,1,1,1
660,5,1,0,1,0.3511,0.6772,0.3261,0,0.3211,0,1,0
661,6,2,0,0,0.4153,0.7385,0.3232,0,0.3912,0,1,0
662,7,3,0,1,0.4071,0.6922,0.2851,0,0.4058,1,1,0
663,8,4,1,0,0.1632,0.6803,0.5170,1,0.6090,1,1,0
664,1,5,1,0,0.4005,0.5874,0.1869,1,0.6785,1,1,1
665,2,6,0,1,0.5364,0.6865,0.1501,1,0.5529,1,1,0
666,3,7,0,0,0.3856,0.7162,0.3306,1,0.3761,1,1,1
667,4,8,0,1,0.4901,0.6427,0.1526,1,0.5171,1,0,0
668,5,9,0,1,0.4412,0.6823,0.2411,0,0.4456,1,1,1
669,6,10,1,1,0.4461,0.6938,0.2477,0,0.7824,0,1,0
670,7,11,0,1,0.4406,0.6865,0.2460,0,0.4151,0,0,0
671,8,12,0,1,0.4541,0.7441,0.2900,1,0.4334,1,1,0
672,1,1,0,1,0.5336,0.6716,0.1380,1,0.5237,0,1,0
673,2,2,0,1,0.4707,0.7145,0.2437,1,0.4794,0,1,0
674,3,3,0,0,0.4738,0.7093,0.2355,0,0.4865,0,0,1
675,4,4,1,0,0.6568,0.7025,0.0457,1,0.8621,0,0,1
676,5,5,0,1,0.3989,0.6306,0.2317,1,0.4014,1,1,1
677,6,6,0,0,0.2556,0.6366,0.3810,1,0.2332,0,0,0
678,7,7,0,1,0.5193,0.6925,0.1732,1,0.5182,0,0,0
679,8,8,0,1,0.5823,0.6992,0.1169,1,0.5674,0,0,0
680,1,9,0,1,0.6185,0.6404,0.0219,1,0.5908,1,0,1
681,2,10,1,1,0.3498,0.7064,0.3566,0,0.7029,1,1,1
682,3,11,0,0,0.3722,0.7491,0.3770,1,0.3618,1,0,0
683,4,12,0,0,0.3584,0.7041,0.3457,0,0.3896,0,0,0
684,5,1,0,0,0.3686,0.7357,0.3671,0,0.3572,0,0,0
685,6,2,0,0,0.1916,0.7519,0.5603,0,0.2002,0,0,1
686,7,3,1,0,0.4029,0.6976,0.2947,0,0.7157,1,1,0
687,8,4,0,0,0.4986,0.7099,0.2113,0,0.4867,0,0,1
688,1,5,0,1,0.2010,0.6780,0.4770,0,0.1742,0,0,1
689,2,6,0,1,0.5124,0.6970,0.1846,1,0.5106,0,0,0
690,3,7,0,1,0.3943,0.7194,0.3251,0,0.3837,0,0,0
691,4,8,0,0,0.3788,0.6571,0.2783,1,0.3958,0,0,0
692,5,9,1,1,0.4478,0.7053,0.2574,0,0.7771,0,0,0
693,6,10,0,0,0.3369,0.6703,0.3333,0,0.3234,0,0,0
694,7,11,0,1,0.5515,0.6863,0.1348,1,0.5346,0,0,1
695,8,12,0,1,0.4478,0.6520,0.2042,1,0.4601,1,0,0
696,1,1,0,0,0.4578,0.6594,0.2016,0,0.4789,0,0,0
697,2,2,0,1,0.3552,0.7110,0.3558,0,0.3095,0,0,0
698,3,3,1,1,0.4772,0.7497,0.2724,1,0.7784,0,0,0
699,4,4,0,1,0.4137,0.6734,0.2596,1,0.4499,0,0,0
700,5,5,0,1,0.2841,0.6445,0.3604,0,0.2740,0,0,0
701,6,6,0,1,0.3254,0.7074,0.3820,0,0.3042,0,1,0
702,7,7,0,1,0.3650,0.6590,0.2939,1,0.3844,1,1,0
703,8,8,1,1,0.4165,0.7078,0.2914,0,0.7388,0,1,0
704,1,9,1,0,0.3348,0.6401,0.3054,0,0.6766,0,1,0
705,2,10,0,1,0.4084,0.7128,0.3044,0,0.4161,0,1,1
706,3,11,0,0,0.2552,0.6685,0.4134,0,0.2395,0,0,0
707,4,12,0,1,0.4842,0.6476,0.1634,1,0.4490,1,0,1
708,5,1,0,0,0.4723,0.6845,0.2122,1,0.4926,1,1,0
709,6,2,1,1,0.4793,0.6299,0.1506,0,0.7603,1,1,0
710,7,3,0,0,0.5994,0.7099,0.1105,1,0.6191,0,1,0
711,8,4,0,1,0.4926,0.6296,0.1370,1,0.4681,0,1,0
712,1,5,0,0,0.3623,0.6979,0.3355,1,0.3715,1,0,1
713,2,6,0,1,0.4691,0.6980,0.2288,0,0.4617,0,0,0
714,3,7,0,0,0.5350,0.6862,0.1512,1,0.5616,0,0,0
715,4,8,1,1,0.4530,0.7012,0.2482,1,0.7612,1,1,0
716,5,9,0,0,0.4885,0.6580,0.1695,1,0.5353,0,0,0
717,6,10,0,1,0.4989,0.7239,0.2250,1,0.5268,1,0,0
718,7,11,0,1,0.4016,0.6541,0.2525,1,0.4121,1,1,1
719,8,12,0,0,0.4200,0.6466,0.2267,1,0.3940,0,1,1
720,1,1,0,1,0.5159,0.7201,0.2042,1,0.5080,1,0,1
