worker_id,origin_norm_group,origin_female_lfp,origin_fertility,family_role_norm_index,current_peer_pressure_index,host_labor_demand_index,host_wage_index,childcare_cost_index,education_years,married,children_under6,works_for_pay,weekly_hours
wk5-257,traditional_family_role,0.452,2.475,0.63,0.637,0.44,1.055,0.405,16,0,0,1,24.7
wk5-258,traditional_family_role,0.428,2.525,0.64,0.655,0.495,1.09,0.46,17,0,0,1,21.4
wk5-259,traditional_family_role,0.434,2.575,0.65,0.565,0.55,1.125,0.515,11,0,0,1,23.2
wk5-260,traditional_family_role,0.44,2.625,0.66,0.583,0.605,1.16,0.57,12,1,0,1,25.0
wk5-261,traditional_family_role,0.446,2.475,0.67,0.601,0.66,0.88,0.24,13,1,0,1,24.8
wk5-262,traditional_family_role,0.452,2.525,0.68,0.619,0.715,0.915,0.295,14,1,0,1,26.6
wk5-263,traditional_family_role,0.428,2.575,0.62,0.637,0.77,0.95,0.35,15,1,0,0,0
wk5-264,traditional_family_role,0.434,2.625,0.63,0.655,0.825,0.985,0.405,16,1,0,0,0
wk5-265,traditional_family_role,0.44,2.475,0.64,0.565,0.44,1.02,0.46,17,1,0,0,0
wk5-266,traditional_family_role,0.446,2.525,0.65,0.583,0.495,1.055,0.515,11,1,0,0,0
wk5-267,traditional_family_role,0.452,2.575,0.66,0.601,0.55,1.09,0.57,12,1,0,0,0
wk5-268,traditional_family_role,0.428,2.625,0.67,0.619,0.605,1.125,0.24,13,1,1,0,0
wk5-269,traditional_family_role,0.434,2.475,0.68,0.637,0.66,1.16,0.295,14,1,1,0,0
wk5-270,traditional_family_role,0.44,2.525,0.62,0.655,0.715,0.88,0.35,15,1,1,0,0
wk5-271,traditional_family_role,0.446,2.575,0.63,0.565,0.77,0.915,0.405,16,1,1,0,0
wk5-272,traditional_family_role,0.452,2.625,0.64,0.583,0.825,0.95,0.46,17,1,1,0,0
wk5-273,traditional_family_role,0.428,2.475,0.65,0.601,0.44,0.985,0.515,11,1,1,0,0
wk5-274,traditional_family_role,0.434,2.525,0.66,0.619,0.495,1.02,0.57,12,1,1,0,0
wk5-275,traditional_family_role,0.44,2.575,0.67,0.637,0.55,1.055,0.24,13,1,1,0,0
wk5-276,traditional_family_role,0.446,2.625,0.68,0.655,0.605,1.09,0.295,14,1,1,0,0
wk5-277,traditional_family_role,0.452,2.475,0.62,0.565,0.66,1.125,0.35,15,1,1,0,0
wk5-278,traditional_family_role,0.428,2.525,0.63,0.583,0.715,1.16,0.405,16,0,1,0,0
wk5-279,traditional_family_role,0.434,2.575,0.64,0.601,0.77,0.88,0.46,17,0,1,1,19.9
wk5-280,traditional_family_role,0.44,2.625,0.65,0.619,0.825,0.915,0.515,11,0,1,1,21.7
wk5-281,traditional_family_role,0.446,2.475,0.66,0.637,0.44,0.95,0.57,12,0,0,1,23.0
wk5-282,traditional_family_role,0.452,2.525,0.67,0.655,0.495,0.985,0.24,13,0,0,1,24.8
wk5-283,traditional_family_role,0.428,2.575,0.68,0.565,0.55,1.02,0.295,14,0,0,1,21.6
wk5-284,traditional_family_role,0.434,2.625,0.62,0.583,0.605,1.055,0.35,15,0,0,1,23.3
wk5-285,traditional_family_role,0.44,2.475,0.63,0.601,0.66,1.09,0.405,16,0,0,1,25.1
wk5-286,traditional_family_role,0.446,2.525,0.64,0.619,0.715,1.125,0.46,17,0,0,1,26.8
wk5-287,traditional_family_role,0.452,2.575,0.65,0.637,0.77,1.16,0.515,11,1,0,1,28.6
wk5-288,traditional_family_role,0.428,2.625,0.66,0.655,0.825,0.88,0.57,12,1,0,0,0
wk5-289,restrictive_family_role,0.308,2.975,0.79,0.715,0.44,1.09,0.405,17,1,0,0,0
wk5-290,restrictive_family_role,0.314,3.025,0.8,0.733,0.495,1.125,0.46,11,1,0,0,0
wk5-291,restrictive_family_role,0.32,3.075,0.81,0.751,0.55,1.16,0.515,12,1,0,0,0
wk5-292,restrictive_family_role,0.326,3.125,0.82,0.769,0.605,0.88,0.57,13,1,0,0,0
wk5-293,restrictive_family_role,0.332,2.975,0.83,0.787,0.66,0.915,0.24,14,1,0,0,0
wk5-294,restrictive_family_role,0.308,3.025,0.84,0.805,0.715,0.95,0.295,15,1,0,0,0
wk5-295,restrictive_family_role,0.314,3.075,0.85,0.715,0.77,0.985,0.35,16,1,1,0,0
wk5-296,restrictive_family_role,0.32,3.125,0.79,0.733,0.825,1.02,0.405,17,1,1,0,0
wk5-297,restrictive_family_role,0.326,2.975,0.8,0.751,0.44,1.055,0.46,11,1,1,0,0
wk5-298,restrictive_family_role,0.332,3.025,0.81,0.769,0.495,1.09,0.515,12,1,1,0,0
wk5-299,restrictive_family_role,0.308,3.075,0.82,0.787,0.55,1.125,0.57,13,1,1,0,0
wk5-300,restrictive_family_role,0.314,3.125,0.83,0.805,0.605,1.16,0.24,14,1,1,0,0
wk5-301,restrictive_family_role,0.32,2.975,0.84,0.715,0.66,0.88,0.295,15,1,1,0,0
wk5-302,restrictive_family_role,0.326,3.025,0.85,0.733,0.715,0.915,0.35,16,1,1,0,0
wk5-303,restrictive_family_role,0.332,3.075,0.79,0.751,0.77,0.95,0.405,17,1,1,0,0
wk5-304,restrictive_family_role,0.308,3.125,0.8,0.769,0.825,0.985,0.46,11,1,1,0,0
wk5-305,restrictive_family_role,0.314,2.975,0.81,0.787,0.44,1.02,0.515,12,1,1,0,0
wk5-306,restrictive_family_role,0.32,3.025,0.82,0.805,0.495,1.055,0.57,13,0,1,1,18.0
wk5-307,restrictive_family_role,0.326,3.075,0.83,0.715,0.55,1.09,0.24,14,0,1,1,19.8
wk5-308,restrictive_family_role,0.332,3.125,0.84,0.733,0.605,1.125,0.295,15,0,1,1,21.6
wk5-309,restrictive_family_role,0.308,2.975,0.85,0.751,0.66,1.16,0.35,16,0,0,1,22.3
wk5-310,restrictive_family_role,0.314,3.025,0.79,0.769,0.715,0.88,0.405,17,0,0,1,22.2
wk5-311,restrictive_family_role,0.32,3.075,0.8,0.787,0.77,0.915,0.46,11,0,0,1,23.9
wk5-312,restrictive_family_role,0.326,3.125,0.81,0.805,0.825,0.95,0.515,12,0,0,1,25.7
wk5-313,restrictive_family_role,0.332,2.975,0.82,0.715,0.44,0.985,0.57,13,0,0,0,0
wk5-314,restrictive_family_role,0.308,3.025,0.83,0.733,0.495,1.02,0.24,14,1,0,0,0
wk5-315,restrictive_family_role,0.314,3.075,0.84,0.751,0.55,1.055,0.295,15,1,0,0,0
wk5-316,restrictive_family_role,0.32,3.125,0.85,0.769,0.605,1.09,0.35,16,1,0,0,0
wk5-317,restrictive_family_role,0.326,2.975,0.79,0.787,0.66,1.125,0.405,17,1,0,0,0
wk5-318,restrictive_family_role,0.332,3.025,0.8,0.805,0.715,1.16,0.46,11,1,0,0,0
wk5-319,restrictive_family_role,0.308,3.075,0.81,0.715,0.77,0.88,0.515,12,1,0,0,0
wk5-320,restrictive_family_role,0.314,3.125,0.82,0.733,0.825,0.915,0.57,13,1,0,0,0
wk5-321,restrictive_family_role,0.32,2.975,0.83,0.751,0.44,0.95,0.24,14,1,0,0,0
wk5-322,restrictive_family_role,0.326,3.025,0.84,0.769,0.495,0.985,0.295,15,1,1,0,0
wk5-323,restrictive_family_role,0.332,3.075,0.85,0.787,0.55,1.02,0.35,16,1,1,0,0
wk5-324,restrictive_family_role,0.308,3.125,0.79,0.805,0.605,1.055,0.405,17,1,1,0,0
wk5-325,restrictive_family_role,0.314,2.975,0.8,0.715,0.66,1.09,0.46,11,1,1,0,0
wk5-326,restrictive_family_role,0.32,3.025,0.81,0.733,0.715,1.125,0.515,12,1,1,0,0
wk5-327,restrictive_family_role,0.326,3.075,0.82,0.751,0.77,1.16,0.57,13,1,1,0,0
wk5-328,restrictive_family_role,0.332,3.125,0.83,0.769,0.825,0.88,0.24,14,1,1,0,0
wk5-329,restrictive_family_role,0.308,2.975,0.84,0.787,0.44,0.915,0.295,15,1,1,0,0
wk5-330,restrictive_family_role,0.314,3.025,0.85,0.805,0.495,0.95,0.35,16,1,1,0,0
wk5-331,restrictive_family_role,0.32,3.075,0.79,0.715,0.55,0.985,0.405,17,1,1,0,0
wk5-332,restrictive_family_role,0.326,3.125,0.8,0.733,0.605,1.02,0.46,11,1,1,0,0
wk5-333,restrictive_family_role,0.332,2.975,0.81,0.751,0.66,1.055,0.515,12,0,1,1,21.7
wk5-334,restrictive_family_role,0.308,3.025,0.82,0.769,0.715,1.09,0.57,13,0,1,1,18.4
wk5-335,restrictive_family_role,0.314,3.075,0.83,0.787,0.77,1.125,0.24,14,0,1,1,20.2
wk5-336,restrictive_family_role,0.32,3.125,0.84,0.805,0.825,1.16,0.295,15,0,0,1,26.0
wk5-337,restrictive_family_role,0.326,2.975,0.85,0.715,0.44,0.88,0.35,16,0,0,1,21.4
wk5-338,restrictive_family_role,0.332,3.025,0.79,0.733,0.495,0.915,0.405,17,0,0,1,23.2
wk5-339,restrictive_family_role,0.308,3.075,0.8,0.751,0.55,0.95,0.46,11,0,0,1,20.0
wk5-340,restrictive_family_role,0.314,3.125,0.81,0.769,0.605,0.985,0.515,12,0,0,0,0
wk5-341,restrictive_family_role,0.32,2.975,0.82,0.787,0.66,1.02,0.57,13,1,0,0,0
wk5-342,restrictive_family_role,0.326,3.025,0.83,0.805,0.715,1.055,0.24,14,1,0,0,0
wk5-343,restrictive_family_role,0.332,3.075,0.84,0.715,0.77,1.09,0.295,15,1,0,0,0
wk5-344,restrictive_family_role,0.308,3.125,0.85,0.733,0.825,1.125,0.35,16,1,0,0,0
wk5-345,restrictive_family_role,0.314,2.975,0.79,0.751,0.44,1.16,0.405,17,1,0,0,0
wk5-346,restrictive_family_role,0.32,3.025,0.8,0.769,0.495,0.88,0.46,11,1,0,0,0
wk5-347,restrictive_family_role,0.326,3.075,0.81,0.787,0.55,0.915,0.515,12,1,0,0,0
wk5-348,restrictive_family_role,0.332,3.125,0.82,0.805,0.605,0.95,0.57,13,1,0,0,0
wk5-349,restrictive_family_role,0.308,2.975,0.83,0.715,0.66,0.985,0.24,14,1,1,0,0
wk5-350,restrictive_family_role,0.314,3.025,0.84,0.733,0.715,1.02,0.295,15,1,1,0,0
wk5-351,restrictive_family_role,0.32,3.075,0.85,0.751,0.77,1.055,0.35,16,1,1,0,0
wk5-352,restrictive_family_role,0.326,3.125,0.79,0.769,0.825,1.09,0.405,17,1,1,0,0
wk5-353,restrictive_family_role,0.332,2.975,0.8,0.787,0.44,1.125,0.46,11,1,1,0,0
wk5-354,restrictive_family_role,0.308,3.025,0.81,0.805,0.495,1.16,0.515,12,1,1,0,0
wk5-355,restrictive_family_role,0.314,3.075,0.82,0.715,0.55,0.88,0.57,13,1,1,0,0
wk5-356,restrictive_family_role,0.32,3.125,0.83,0.733,0.605,0.915,0.24,14,1,1,0,0
wk5-357,restrictive_family_role,0.326,2.975,0.84,0.751,0.66,0.95,0.295,15,1,1,0,0
wk5-358,restrictive_family_role,0.332,3.025,0.85,0.769,0.715,0.985,0.35,16,1,1,0,0
wk5-359,restrictive_family_role,0.308,3.075,0.79,0.787,0.77,1.02,0.405,17,1,1,0,0
wk5-360,restrictive_family_role,0.314,3.125,0.8,0.805,0.825,1.055,0.46,11,0,1,1,20.3
wk5-361,restrictive_family_role,0.32,2.975,0.81,0.715,0.44,1.09,0.515,12,0,1,1,17.7
wk5-362,restrictive_family_role,0.326,3.025,0.82,0.733,0.495,1.125,0.57,13,0,1,1,19.5
wk5-363,restrictive_family_role,0.332,3.075,0.83,0.751,0.55,1.16,0.24,14,0,0,1,25.2
wk5-364,restrictive_family_role,0.308,3.125,0.84,0.769,0.605,0.88,0.295,15,0,0,1,20.1
wk5-365,restrictive_family_role,0.314,2.975,0.85,0.787,0.66,0.915,0.35,16,0,0,1,21.9
wk5-366,restrictive_family_role,0.32,3.025,0.79,0.805,0.715,0.95,0.405,17,0,0,1,23.6
wk5-367,restrictive_family_role,0.326,3.075,0.8,0.715,0.77,0.985,0.46,11,0,0,0,0
wk5-368,restrictive_family_role,0.332,3.125,0.81,0.733,0.825,1.02,0.515,12,1,0,0,0
wk5-369,restrictive_family_role,0.308,2.975,0.82,0.751,0.44,1.055,0.57,13,1,0,0,0
wk5-370,restrictive_family_role,0.314,3.025,0.83,0.769,0.495,1.09,0.24,14,1,0,0,0
wk5-371,restrictive_family_role,0.32,3.075,0.84,0.787,0.55,1.125,0.295,15,1,0,0,0
wk5-372,restrictive_family_role,0.326,3.125,0.85,0.805,0.605,1.16,0.35,16,1,0,0,0
wk5-373,restrictive_family_role,0.332,2.975,0.79,0.715,0.66,0.88,0.405,17,1,0,0,0
wk5-374,restrictive_family_role,0.308,3.025,0.8,0.733,0.715,0.915,0.46,11,1,0,0,0
wk5-375,restrictive_family_role,0.314,3.075,0.81,0.751,0.77,0.95,0.515,12,1,0,0,0
wk5-376,restrictive_family_role,0.32,3.125,0.82,0.769,0.825,0.985,0.57,13,1,1,0,0
wk5-377,restrictive_family_role,0.326,2.975,0.83,0.787,0.44,1.02,0.24,14,1,1,0,0
wk5-378,restrictive_family_role,0.332,3.025,0.84,0.805,0.495,1.055,0.295,15,1,1,0,0
wk5-379,restrictive_family_role,0.308,3.075,0.85,0.715,0.55,1.09,0.35,16,1,1,0,0
wk5-380,restrictive_family_role,0.314,3.125,0.79,0.733,0.605,1.125,0.405,17,1,1,0,0
wk5-381,restrictive_family_role,0.32,2.975,0.8,0.751,0.66,1.16,0.46,11,1,1,0,0
wk5-382,restrictive_family_role,0.326,3.025,0.81,0.769,0.715,0.88,0.515,12,1,1,0,0
wk5-383,restrictive_family_role,0.332,3.075,0.82,0.787,0.77,0.915,0.57,13,1,1,0,0
wk5-384,restrictive_family_role,0.308,3.125,0.83,0.805,0.825,0.95,0.24,14,1,1,0,0
