seeker_id,duration_week,high_prospect_type,optimism_type,model_predicted_prob_4wk,subjective_job_find_prob_4wk,realized_exit_next_4wk,applications_last_week,reservation_wage
seeker-123,8,0,0,0.095,0.103,0,4,18.43
seeker-123,12,0,0,0.04,0.032,0,2,17.72
seeker-124,1,0,1,0.204,0.29,0,8,20.02
seeker-124,4,0,1,0.159,0.233,0,7,19.46
seeker-124,8,0,1,0.099,0.157,0,5,18.72
seeker-124,12,0,1,0.04,0.082,0,3,17.99
seeker-125,1,1,0,0.348,0.384,1,10,22.13
seeker-125,4,1,0,0.303,0.327,0,9,21.58
seeker-125,8,1,0,0.243,0.251,1,7,20.84
seeker-125,12,1,0,0.183,0.175,0,5,20.1
seeker-126,1,1,0,0.352,0.388,0,8,22.15
seeker-126,4,1,0,0.307,0.331,1,7,21.6
seeker-126,8,1,0,0.247,0.255,0,5,20.86
seeker-126,12,1,0,0.187,0.179,0,3,20.12
seeker-127,1,0,0,0.216,0.252,1,8,19.81
seeker-127,4,0,0,0.171,0.195,0,6,19.25
seeker-127,8,0,0,0.111,0.119,0,5,18.51
seeker-127,12,0,0,0.051,0.043,0,3,17.78
seeker-128,1,0,1,0.22,0.306,0,10,20.1
seeker-128,4,0,1,0.175,0.249,0,8,19.55
seeker-128,8,0,1,0.115,0.173,0,6,18.81
seeker-128,12,0,1,0.055,0.097,0,4,18.07
seeker-129,1,0,0,0.224,0.26,0,7,19.85
seeker-129,4,0,0,0.179,0.203,1,6,19.3
seeker-129,8,0,0,0.119,0.127,0,4,18.56
seeker-129,12,0,0,0.059,0.051,1,2,17.82
seeker-130,1,1,0,0.368,0.404,1,10,22.24
seeker-130,4,1,0,0.323,0.347,0,8,21.69
seeker-130,8,1,0,0.263,0.271,0,6,20.95
seeker-130,12,1,0,0.203,0.195,0,4,20.21
seeker-131,1,1,0,0.372,0.408,0,11,22.26
seeker-131,4,1,0,0.327,0.351,0,9,21.71
seeker-131,8,1,0,0.267,0.275,0,7,20.97
seeker-131,12,1,0,0.207,0.199,0,5,20.23
seeker-132,1,0,1,0.188,0.274,0,7,19.93
seeker-132,4,0,1,0.143,0.217,0,6,19.37
seeker-132,8,0,1,0.083,0.141,0,4,18.64
seeker-132,12,0,1,0.04,0.082,0,2,17.99
seeker-133,1,0,0,0.192,0.228,0,8,19.67
seeker-133,4,0,0,0.147,0.171,0,6,19.12
seeker-133,8,0,0,0.087,0.095,1,4,18.38
seeker-133,12,0,0,0.04,0.032,0,3,17.72
seeker-134,1,0,0,0.196,0.232,0,9,19.7
seeker-134,4,0,0,0.151,0.175,1,7,19.14
seeker-134,8,0,0,0.091,0.099,0,5,18.4
seeker-134,12,0,0,0.04,0.032,0,4,17.72
seeker-135,1,1,0,0.34,0.376,1,8,22.09
seeker-135,4,1,0,0.295,0.319,0,7,21.53
seeker-135,8,1,0,0.235,0.243,0,5,20.8
seeker-135,12,1,0,0.175,0.167,0,3,20.06
seeker-136,1,1,1,0.344,0.43,0,10,22.39
seeker-136,4,1,1,0.299,0.373,0,8,21.83
seeker-136,8,1,1,0.239,0.297,1,6,21.09
seeker-136,12,1,1,0.179,0.221,0,5,20.36
seeker-137,1,0,0,0.208,0.244,0,9,19.76
seeker-137,4,0,0,0.163,0.187,1,7,19.21
seeker-137,8,0,0,0.103,0.111,0,6,18.47
seeker-137,12,0,0,0.043,0.035,1,4,17.73
seeker-138,1,0,0,0.212,0.248,1,7,19.78
seeker-138,4,0,0,0.167,0.191,0,5,19.23
seeker-138,8,0,0,0.107,0.115,0,4,18.49
seeker-138,12,0,0,0.047,0.039,0,2,17.75
seeker-139,1,0,0,0.216,0.252,0,8,19.81
seeker-139,4,0,0,0.171,0.195,0,6,19.25
seeker-139,8,0,0,0.111,0.119,0,5,18.51
seeker-139,12,0,0,0.051,0.043,0,3,17.78
seeker-140,1,1,1,0.36,0.446,0,11,22.47
seeker-140,4,1,1,0.315,0.389,1,9,21.92
seeker-140,8,1,1,0.255,0.313,0,8,21.18
seeker-140,12,1,1,0.195,0.237,1,6,20.44
seeker-141,1,1,0,0.364,0.4,1,8,22.22
seeker-141,4,1,0,0.319,0.343,0,7,21.67
seeker-141,8,1,0,0.259,0.267,1,5,20.93
seeker-141,12,1,0,0.199,0.191,0,3,20.19
seeker-142,1,0,0,0.228,0.264,0,8,19.87
seeker-142,4,0,0,0.183,0.207,0,7,19.32
seeker-142,8,0,0,0.123,0.131,0,5,18.58
seeker-142,12,0,0,0.063,0.055,0,3,17.84
seeker-143,1,0,0,0.232,0.268,1,9,19.89
seeker-143,4,0,0,0.187,0.211,0,8,19.34
seeker-143,8,0,0,0.127,0.135,0,6,18.6
seeker-143,12,0,0,0.067,0.059,0,4,17.86
seeker-144,1,0,1,0.188,0.274,0,7,19.93
seeker-144,4,0,1,0.143,0.217,0,6,19.37
seeker-144,8,0,1,0.083,0.141,0,4,18.64
seeker-144,12,0,1,0.04,0.082,0,2,17.99
seeker-145,1,1,0,0.332,0.368,0,9,22.04
seeker-145,4,1,0,0.287,0.311,1,8,21.49
seeker-145,8,1,0,0.227,0.235,0,6,20.75
seeker-145,12,1,0,0.167,0.159,0,4,20.01
seeker-146,1,1,0,0.336,0.372,1,10,22.07
seeker-146,4,1,0,0.291,0.315,0,9,21.51
seeker-146,8,1,0,0.231,0.239,0,7,20.77
seeker-146,12,1,0,0.171,0.163,0,5,20.04
seeker-147,1,0,0,0.2,0.236,0,7,19.72
seeker-147,4,0,0,0.155,0.179,0,5,19.16
seeker-147,8,0,0,0.095,0.103,0,4,18.43
seeker-147,12,0,0,0.04,0.032,0,2,17.72
seeker-148,1,0,1,0.204,0.29,0,8,20.02
seeker-148,4,0,1,0.159,0.233,0,7,19.46
seeker-148,8,0,1,0.099,0.157,0,5,18.72
seeker-148,12,0,1,0.04,0.082,0,3,17.99
seeker-149,1,0,0,0.208,0.244,0,9,19.76
seeker-149,4,0,0,0.163,0.187,0,7,19.21
seeker-149,8,0,0,0.103,0.111,1,6,18.47
seeker-149,12,0,0,0.043,0.035,0,4,17.73
seeker-150,1,1,0,0.352,0.388,0,8,22.15
seeker-150,4,1,0,0.307,0.331,0,7,21.6
seeker-150,8,1,0,0.247,0.255,0,5,20.86
seeker-150,12,1,0,0.187,0.179,0,3,20.12
seeker-151,1,1,0,0.356,0.392,0,9,22.18
seeker-151,4,1,0,0.311,0.335,1,8,21.62
seeker-151,8,1,0,0.251,0.259,0,6,20.88
seeker-151,12,1,0,0.191,0.183,1,4,20.15
seeker-152,1,0,1,0.22,0.306,0,10,20.1
seeker-152,4,0,1,0.175,0.249,0,8,19.55
seeker-152,8,0,1,0.115,0.173,1,6,18.81
seeker-152,12,0,1,0.055,0.097,0,4,18.07
seeker-153,1,0,0,0.224,0.26,0,7,19.85
seeker-153,4,0,0,0.179,0.203,1,6,19.3
seeker-153,8,0,0,0.119,0.127,0,4,18.56
seeker-153,12,0,0,0.059,0.051,0,2,17.82
seeker-154,1,0,0,0.228,0.264,1,8,19.87
seeker-154,4,0,0,0.183,0.207,0,7,19.32
seeker-154,8,0,0,0.123,0.131,0,5,18.58
seeker-154,12,0,0,0.063,0.055,0,3,17.84
seeker-155,1,1,0,0.372,0.408,0,11,22.26
seeker-155,4,1,0,0.327,0.351,0,9,21.71
seeker-155,8,1,0,0.267,0.275,1,7,20.97
seeker-155,12,1,0,0.207,0.199,0,5,20.23
seeker-156,1,1,1,0.328,0.414,0,9,22.3
seeker-156,4,1,1,0.283,0.357,1,7,21.74
seeker-156,8,1,1,0.223,0.281,0,5,21.01
seeker-156,12,1,1,0.163,0.205,1,4,20.27
seeker-157,1,0,0,0.192,0.228,1,8,19.67
seeker-157,4,0,0,0.147,0.171,0,6,19.12
seeker-157,8,0,0,0.087,0.095,0,4,18.38
seeker-157,12,0,0,0.04,0.032,0,3,17.72
seeker-158,1,0,0,0.196,0.232,0,9,19.7
seeker-158,4,0,0,0.151,0.175,0,7,19.14
seeker-158,8,0,0,0.091,0.099,0,5,18.4
seeker-158,12,0,0,0.04,0.032,0,4,17.72
seeker-159,1,0,0,0.2,0.236,0,7,19.72
seeker-159,4,0,0,0.155,0.179,0,5,19.16
seeker-159,8,0,0,0.095,0.103,0,4,18.43
seeker-159,12,0,0,0.04,0.032,0,2,17.72
seeker-160,1,1,1,0.344,0.43,1,10,22.39
seeker-160,4,1,1,0.299,0.373,0,8,21.83
seeker-160,8,1,1,0.239,0.297,1,6,21.09
seeker-160,12,1,1,0.179,0.221,0,5,20.36
seeker-161,1,1,0,0.348,0.384,0,10,22.13
seeker-161,4,1,0,0.303,0.327,1,9,21.58
seeker-161,8,1,0,0.243,0.251,0,7,20.84
seeker-161,12,1,0,0.183,0.175,0,5,20.1
seeker-162,1,0,0,0.212,0.248,1,7,19.78
seeker-162,4,0,0,0.167,0.191,0,5,19.23
seeker-162,8,0,0,0.107,0.115,0,4,18.49
seeker-162,12,0,0,0.047,0.039,0,2,17.75
seeker-163,1,0,0,0.216,0.252,0,8,19.81
seeker-163,4,0,0,0.171,0.195,0,6,19.25
seeker-163,8,0,0,0.111,0.119,0,5,18.51
seeker-163,12,0,0,0.051,0.043,0,3,17.78
seeker-164,1,0,1,0.22,0.306,0,10,20.1
seeker-164,4,0,1,0.175,0.249,1,8,19.55
seeker-164,8,0,1,0.115,0.173,0,6,18.81
seeker-164,12,0,1,0.055,0.097,1,4,18.07
seeker-165,1,1,0,0.364,0.4,1,8,22.22
seeker-165,4,1,0,0.319,0.343,0,7,21.67
seeker-165,8,1,0,0.259,0.267,0,5,20.93
seeker-165,12,1,0,0.199,0.191,0,3,20.19
seeker-166,1,1,0,0.368,0.404,0,10,22.24
seeker-166,4,1,0,0.323,0.347,0,8,21.69
seeker-166,8,1,0,0.263,0.271,0,6,20.95
seeker-166,12,1,0,0.203,0.195,0,4,20.21
seeker-167,1,0,0,0.232,0.268,0,9,19.89
seeker-167,4,0,0,0.187,0.211,0,8,19.34
seeker-167,8,0,0,0.127,0.135,0,6,18.6
seeker-167,12,0,0,0.067,0.059,0,4,17.86
seeker-168,1,0,1,0.188,0.274,0,7,19.93
seeker-168,4,0,1,0.143,0.217,0,6,19.37
seeker-168,8,0,1,0.083,0.141,1,4,18.64
seeker-168,12,0,1,0.04,0.082,0,2,17.99
seeker-169,1,0,0,0.192,0.228,0,8,19.67
seeker-169,4,0,0,0.147,0.171,0,6,19.12
seeker-169,8,0,0,0.087,0.095,0,4,18.38
seeker-169,12,0,0,0.04,0.032,0,3,17.72
seeker-170,1,1,0,0.336,0.372,1,10,22.07
seeker-170,4,1,0,0.291,0.315,0,9,21.51
seeker-170,8,1,0,0.231,0.239,0,7,20.77
seeker-170,12,1,0,0.171,0.163,0,5,20.04
seeker-171,1,1,0,0.34,0.376,0,8,22.09
seeker-171,4,1,0,0.295,0.319,0,7,21.53
seeker-171,8,1,0,0.235,0.243,1,5,20.8
seeker-171,12,1,0,0.175,0.167,0,3,20.06
seeker-172,1,0,1,0.204,0.29,0,8,20.02
seeker-172,4,0,1,0.159,0.233,1,7,19.46
seeker-172,8,0,1,0.099,0.157,0,5,18.72
seeker-172,12,0,1,0.04,0.082,0,3,17.99
seeker-173,1,0,0,0.208,0.244,1,9,19.76
seeker-173,4,0,0,0.163,0.187,0,7,19.21
seeker-173,8,0,0,0.103,0.111,0,6,18.47
seeker-173,12,0,0,0.043,0.035,0,4,17.73
seeker-174,1,0,0,0.212,0.248,0,7,19.78
seeker-174,4,0,0,0.167,0.191,0,5,19.23
seeker-174,8,0,0,0.107,0.115,0,4,18.49
seeker-174,12,0,0,0.047,0.039,0,2,17.75
seeker-175,1,1,0,0.356,0.392,0,9,22.18
seeker-175,4,1,0,0.311,0.335,1,8,21.62
seeker-175,8,1,0,0.251,0.259,0,6,20.88
seeker-175,12,1,0,0.191,0.183,1,4,20.15
seeker-176,1,1,1,0.36,0.446,1,11,22.47
seeker-176,4,1,1,0.315,0.389,0,9,21.92
seeker-176,8,1,1,0.255,0.313,1,8,21.18
seeker-176,12,1,1,0.195,0.237,0,6,20.44
seeker-177,1,0,0,0.224,0.26,0,7,19.85
seeker-177,4,0,0,0.179,0.203,0,6,19.3
seeker-177,8,0,0,0.119,0.127,0,4,18.56
seeker-177,12,0,0,0.059,0.051,0,2,17.82
seeker-178,1,0,0,0.228,0.264,0,8,19.87
seeker-178,4,0,0,0.183,0.207,0,7,19.32
seeker-178,8,0,0,0.123,0.131,0,5,18.58
seeker-178,12,0,0,0.063,0.055,0,3,17.84
seeker-179,1,0,0,0.232,0.268,0,9,19.89
seeker-179,4,0,0,0.187,0.211,0,8,19.34
seeker-179,8,0,0,0.127,0.135,1,6,18.6
seeker-179,12,0,0,0.067,0.059,0,4,17.86
seeker-180,1,1,1,0.328,0.414,0,9,22.3
seeker-180,4,1,1,0.283,0.357,1,7,21.74
seeker-180,8,1,1,0.223,0.281,0,5,21.01
seeker-180,12,1,1,0.163,0.205,0,4,20.27
seeker-181,1,1,0,0.332,0.368,1,9,22.04
seeker-181,4,1,0,0.287,0.311,0,8,21.49
seeker-181,8,1,0,0.227,0.235,0,6,20.75
seeker-181,12,1,0,0.167,0.159,0,4,20.01
seeker-182,1,0,0,0.196,0.232,0,9,19.7
seeker-182,4,0,0,0.151,0.175,0,7,19.14
seeker-182,8,0,0,0.091,0.099,0,5,18.4
seeker-182,12,0,0,0.04,0.032,0,4,17.72
seeker-183,1,0,0,0.2,0.236,0,7,19.72
seeker-183,4,0,0,0.155,0.179,1,5,19.16
seeker-183,8,0,0,0.095,0.103,0,4,18.43
seeker-183,12,0,0,0.04,0.032,1,2,17.72
seeker-184,1,0,1,0.204,0.29,1,8,20.02
seeker-184,4,0,1,0.159,0.233,0,7,19.46
seeker-184,8,0,1,0.099,0.157,0,5,18.72
seeker-184,12,0,1,0.04,0.082,0,3,17.99
seeker-185,1,1,0,0.348,0.384,0,10,22.13
seeker-185,4,1,0,0.303,0.327,0,9,21.58
seeker-185,8,1,0,0.243,0.251,0,7,20.84
seeker-185,12,1,0,0.183,0.175,0,5,20.1
seeker-186,1,1,0,0.352,0.388,0,8,22.15
seeker-186,4,1,0,0.307,0.331,1,7,21.6
seeker-186,8,1,0,0.247,0.255,0,5,20.86
seeker-186,12,1,0,0.187,0.179,1,3,20.12
seeker-187,1,0,0,0.216,0.252,0,8,19.81
seeker-187,4,0,0,0.171,0.195,0,6,19.25
seeker-187,8,0,0,0.111,0.119,1,5,18.51
seeker-187,12,0,0,0.051,0.043,0,3,17.78
seeker-188,1,0,1,0.22,0.306,0,10,20.1
seeker-188,4,0,1,0.175,0.249,1,8,19.55
seeker-188,8,0,1,0.115,0.173,0,6,18.81
seeker-188,12,0,1,0.055,0.097,0,4,18.07
seeker-189,1,0,0,0.224,0.26,1,7,19.85
seeker-189,4,0,0,0.179,0.203,0,6,19.3
seeker-189,8,0,0,0.119,0.127,0,4,18.56
seeker-189,12,0,0,0.059,0.051,0,2,17.82
seeker-190,1,1,0,0.368,0.404,0,10,22.24
seeker-190,4,1,0,0.323,0.347,0,8,21.69
seeker-190,8,1,0,0.263,0.271,1,6,20.95
seeker-190,12,1,0,0.203,0.195,0,4,20.21
seeker-191,1,1,0,0.372,0.408,0,11,22.26
seeker-191,4,1,0,0.327,0.351,1,9,21.71
seeker-191,8,1,0,0.267,0.275,0,7,20.97
seeker-191,12,1,0,0.207,0.199,0,5,20.23
seeker-192,1,0,1,0.188,0.274,1,7,19.93
seeker-192,4,0,1,0.143,0.217,0,6,19.37
seeker-192,8,0,1,0.083,0.141,0,4,18.64
seeker-192,12,0,1,0.04,0.082,0,2,17.99
seeker-193,1,0,0,0.192,0.228,0,8,19.67
seeker-193,4,0,0,0.147,0.171,0,6,19.12
seeker-193,8,0,0,0.087,0.095,0,4,18.38
seeker-193,12,0,0,0.04,0.032,0,3,17.72
seeker-194,1,0,0,0.196,0.232,0,9,19.7
seeker-194,4,0,0,0.151,0.175,0,7,19.14
seeker-194,8,0,0,0.091,0.099,0,5,18.4
seeker-194,12,0,0,0.04,0.032,0,4,17.72
seeker-195,1,1,0,0.34,0.376,1,8,22.09
seeker-195,4,1,0,0.295,0.319,0,7,21.53
seeker-195,8,1,0,0.235,0.243,1,5,20.8
seeker-195,12,1,0,0.175,0.167,0,3,20.06
seeker-196,1,1,1,0.344,0.43,0,10,22.39
seeker-196,4,1,1,0.299,0.373,0,8,21.83
seeker-196,8,1,1,0.239,0.297,0,6,21.09
seeker-196,12,1,1,0.179,0.221,0,5,20.36
seeker-197,1,0,0,0.208,0.244,1,9,19.76
seeker-197,4,0,0,0.163,0.187,0,7,19.21
seeker-197,8,0,0,0.103,0.111,0,6,18.47
seeker-197,12,0,0,0.043,0.035,0,4,17.73
seeker-198,1,0,0,0.212,0.248,0,7,19.78
seeker-198,4,0,0,0.167,0.191,0,5,19.23
seeker-198,8,0,0,0.107,0.115,0,4,18.49
seeker-198,12,0,0,0.047,0.039,0,2,17.75
seeker-199,1,0,0,0.216,0.252,0,8,19.81
seeker-199,4,0,0,0.171,0.195,1,6,19.25
seeker-199,8,0,0,0.111,0.119,0,5,18.51
seeker-199,12,0,0,0.051,0.043,0,3,17.78
seeker-200,1,1,1,0.36,0.446,1,11,22.47
seeker-200,4,1,1,0.315,0.389,0,9,21.92
seeker-200,8,1,1,0.255,0.313,0,8,21.18
seeker-200,12,1,1,0.195,0.237,0,6,20.44
seeker-201,1,1,0,0.364,0.4,0,8,22.22
seeker-201,4,1,0,0.319,0.343,0,7,21.67
seeker-201,8,1,0,0.259,0.267,1,5,20.93
seeker-201,12,1,0,0.199,0.191,0,3,20.19
seeker-202,1,0,0,0.228,0.264,0,8,19.87
seeker-202,4,0,0,0.183,0.207,1,7,19.32
seeker-202,8,0,0,0.123,0.131,0,5,18.58
seeker-202,12,0,0,0.063,0.055,1,3,17.84
seeker-203,1,0,0,0.232,0.268,1,9,19.89
seeker-203,4,0,0,0.187,0.211,0,8,19.34
seeker-203,8,0,0,0.127,0.135,0,6,18.6
seeker-203,12,0,0,0.067,0.059,0,4,17.86
seeker-204,1,0,1,0.188,0.274,0,7,19.93
seeker-204,4,0,1,0.143,0.217,0,6,19.37
seeker-204,8,0,1,0.083,0.141,0,4,18.64
seeker-204,12,0,1,0.04,0.082,0,2,17.99
seeker-205,1,1,0,0.332,0.368,0,9,22.04
seeker-205,4,1,0,0.287,0.311,1,8,21.49
seeker-205,8,1,0,0.227,0.235,0,6,20.75
seeker-205,12,1,0,0.167,0.159,1,4,20.01
seeker-206,1,1,0,0.336,0.372,1,10,22.07
seeker-206,4,1,0,0.291,0.315,0,9,21.51
seeker-206,8,1,0,0.231,0.239,1,7,20.77
seeker-206,12,1,0,0.171,0.163,0,5,20.04
seeker-207,1,0,0,0.2,0.236,0,7,19.72
seeker-207,4,0,0,0.155,0.179,1,5,19.16
seeker-207,8,0,0,0.095,0.103,0,4,18.43
seeker-207,12,0,0,0.04,0.032,0,2,17.72
seeker-208,1,0,1,0.204,0.29,1,8,20.02
seeker-208,4,0,1,0.159,0.233,0,7,19.46
seeker-208,8,0,1,0.099,0.157,0,5,18.72
seeker-208,12,0,1,0.04,0.082,0,3,17.99
seeker-209,1,0,0,0.208,0.244,0,9,19.76
seeker-209,4,0,0,0.163,0.187,0,7,19.21
seeker-209,8,0,0,0.103,0.111,0,6,18.47
seeker-209,12,0,0,0.043,0.035,0,4,17.73
seeker-210,1,1,0,0.352,0.388,0,8,22.15
seeker-210,4,1,0,0.307,0.331,1,7,21.6
seeker-210,8,1,0,0.247,0.255,0,5,20.86
seeker-210,12,1,0,0.187,0.179,1,3,20.12
seeker-211,1,1,0,0.356,0.392,1,9,22.18
seeker-211,4,1,0,0.311,0.335,0,8,21.62
seeker-211,8,1,0,0.251,0.259,0,6,20.88
seeker-211,12,1,0,0.191,0.183,0,4,20.15
seeker-212,1,0,1,0.22,0.306,0,10,20.1
seeker-212,4,0,1,0.175,0.249,0,8,19.55
seeker-212,8,0,1,0.115,0.173,0,6,18.81
seeker-212,12,0,1,0.055,0.097,0,4,18.07
seeker-213,1,0,0,0.224,0.26,0,7,19.85
seeker-213,4,0,0,0.179,0.203,0,6,19.3
seeker-213,8,0,0,0.119,0.127,0,4,18.56
seeker-213,12,0,0,0.059,0.051,0,2,17.82
seeker-214,1,0,0,0.228,0.264,0,8,19.87
seeker-214,4,0,0,0.183,0.207,0,7,19.32
seeker-214,8,0,0,0.123,0.131,1,5,18.58
seeker-214,12,0,0,0.063,0.055,0,3,17.84
seeker-215,1,1,0,0.372,0.408,0,11,22.26
seeker-215,4,1,0,0.327,0.351,0,9,21.71
seeker-215,8,1,0,0.267,0.275,0,7,20.97
seeker-215,12,1,0,0.207,0.199,0,5,20.23
seeker-216,1,1,1,0.328,0.414,1,9,22.3
seeker-216,4,1,1,0.283,0.357,0,7,21.74
seeker-216,8,1,1,0.223,0.281,0,5,21.01
seeker-216,12,1,1,0.163,0.205,0,4,20.27
seeker-217,1,0,0,0.192,0.228,0,8,19.67
seeker-217,4,0,0,0.147,0.171,0,6,19.12
seeker-217,8,0,0,0.087,0.095,0,4,18.38
seeker-217,12,0,0,0.04,0.032,0,3,17.72
seeker-218,1,0,0,0.196,0.232,0,9,19.7
seeker-218,4,0,0,0.151,0.175,1,7,19.14
seeker-218,8,0,0,0.091,0.099,0,5,18.4
seeker-218,12,0,0,0.04,0.032,0,4,17.72
seeker-219,1,0,0,0.2,0.236,1,7,19.72
seeker-219,4,0,0,0.155,0.179,0,5,19.16
seeker-219,8,0,0,0.095,0.103,0,4,18.43
seeker-219,12,0,0,0.04,0.032,0,2,17.72
seeker-220,1,1,1,0.344,0.43,0,10,22.39
seeker-220,4,1,1,0.299,0.373,0,8,21.83
seeker-220,8,1,1,0.239,0.297,0,6,21.09
seeker-220,12,1,1,0.179,0.221,0,5,20.36
seeker-221,1,1,0,0.348,0.384,0,10,22.13
seeker-221,4,1,0,0.303,0.327,1,9,21.58
seeker-221,8,1,0,0.243,0.251,0,7,20.84
seeker-221,12,1,0,0.183,0.175,1,5,20.1
seeker-222,1,0,0,0.212,0.248,0,7,19.78
seeker-222,4,0,0,0.167,0.191,0,5,19.23
seeker-222,8,0,0,0.107,0.115,1,4,18.49
seeker-222,12,0,0,0.047,0.039,0,2,17.75
seeker-223,1,0,0,0.216,0.252,0,8,19.81
seeker-223,4,0,0,0.171,0.195,0,6,19.25
seeker-223,8,0,0,0.111,0.119,0,5,18.51
seeker-223,12,0,0,0.051,0.043,0,3,17.78
seeker-224,1,0,1,0.22,0.306,0,10,20.1
seeker-224,4,0,1,0.175,0.249,0,8,19.55
seeker-224,8,0,1,0.115,0.173,0,6,18.81
seeker-224,12,0,1,0.055,0.097,0,4,18.07
seeker-225,1,1,0,0.364,0.4,1,8,22.22
seeker-225,4,1,0,0.319,0.343,0,7,21.67
seeker-225,8,1,0,0.259,0.267,1,5,20.93
seeker-225,12,1,0,0.199,0.191,0,3,20.19
seeker-226,1,1,0,0.368,0.404,0,10,22.24
seeker-226,4,1,0,0.323,0.347,1,8,21.69
seeker-226,8,1,0,0.263,0.271,0,6,20.95
seeker-226,12,1,0,0.203,0.195,0,4,20.21
seeker-227,1,0,0,0.232,0.268,1,9,19.89
seeker-227,4,0,0,0.187,0.211,0,8,19.34
seeker-227,8,0,0,0.127,0.135,0,6,18.6
seeker-227,12,0,0,0.067,0.059,0,4,17.86
seeker-228,1,0,1,0.188,0.274,0,7,19.93
seeker-228,4,0,1,0.143,0.217,0,6,19.37
seeker-228,8,0,1,0.083,0.141,0,4,18.64
seeker-228,12,0,1,0.04,0.082,0,2,17.99
seeker-229,1,0,0,0.192,0.228,0,8,19.67
seeker-229,4,0,0,0.147,0.171,0,6,19.12
seeker-229,8,0,0,0.087,0.095,0,4,18.38
seeker-229,12,0,0,0.04,0.032,0,3,17.72
seeker-230,1,1,0,0.336,0.372,1,10,22.07
seeker-230,4,1,0,0.291,0.315,0,9,21.51
seeker-230,8,1,0,0.231,0.239,0,7,20.77
seeker-230,12,1,0,0.171,0.163,0,5,20.04
seeker-231,1,1,0,0.34,0.376,0,8,22.09
seeker-231,4,1,0,0.295,0.319,0,7,21.53
seeker-231,8,1,0,0.235,0.243,0,5,20.8
seeker-231,12,1,0,0.175,0.167,0,3,20.06
seeker-232,1,0,1,0.204,0.29,0,8,20.02
seeker-232,4,0,1,0.159,0.233,0,7,19.46
seeker-232,8,0,1,0.099,0.157,0,5,18.72
seeker-232,12,0,1,0.04,0.082,0,3,17.99
seeker-233,1,0,0,0.208,0.244,0,9,19.76
seeker-233,4,0,0,0.163,0.187,0,7,19.21
seeker-233,8,0,0,0.103,0.111,1,6,18.47
seeker-233,12,0,0,0.043,0.035,0,4,17.73
seeker-234,1,0,0,0.212,0.248,0,7,19.78
seeker-234,4,0,0,0.167,0.191,1,5,19.23
seeker-234,8,0,0,0.107,0.115,0,4,18.49
seeker-234,12,0,0,0.047,0.039,0,2,17.75
seeker-235,1,1,0,0.356,0.392,1,9,22.18
seeker-235,4,1,0,0.311,0.335,0,8,21.62
seeker-235,8,1,0,0.251,0.259,0,6,20.88
seeker-235,12,1,0,0.191,0.183,0,4,20.15
seeker-236,1,1,1,0.36,0.446,0,11,22.47
seeker-236,4,1,1,0.315,0.389,0,9,21.92
seeker-236,8,1,1,0.255,0.313,1,8,21.18
seeker-236,12,1,1,0.195,0.237,0,6,20.44
seeker-237,1,0,0,0.224,0.26,0,7,19.85
seeker-237,4,0,0,0.179,0.203,1,6,19.3
seeker-237,8,0,0,0.119,0.127,0,4,18.56
seeker-237,12,0,0,0.059,0.051,1,2,17.82
seeker-238,1,0,0,0.228,0.264,1,8,19.87
seeker-238,4,0,0,0.183,0.207,0,7,19.32
seeker-238,8,0,0,0.123,0.131,0,5,18.58
seeker-238,12,0,0,0.063,0.055,0,3,17.84
seeker-239,1,0,0,0.232,0.268,0,9,19.89
seeker-239,4,0,0,0.187,0.211,0,8,19.34
seeker-239,8,0,0,0.127,0.135,0,6,18.6
seeker-239,12,0,0,0.067,0.059,0,4,17.86
