worker_id,arm,skill,reciprocity_index,gift_value,employer_effort,piece_rate,framing_salience,extra_work_minutes,output_units,quality_score,productivity_value,productivity_per_minute
worker-255,control,0.89,0.55,0.0,0.0,0.0,0.15,44.1,56.41,0.788,44.45,1.008
worker-256,cash_gift,0.89,0.55,1.0,0.0,0.0,0.45,49.88,59.08,0.776,45.85,0.919
worker-257,noncash_gift,0.89,0.55,0.85,0.35,0.0,0.55,50.58,60.04,0.794,47.69,0.943
worker-258,piece_rate,0.89,0.55,0.0,0.0,0.22,0.35,46.96,59.27,0.796,47.16,1.004
worker-259,employer_return,0.89,0.55,0.65,0.55,0.0,0.5,50.33,60.28,0.798,48.1,0.956
worker-260,control,0.925,0.65,0.0,0.0,0.0,0.15,47.5,58.85,0.816,48.02,1.011
worker-261,cash_gift,0.925,0.65,1.0,0.0,0.0,0.45,54.33,62.13,0.804,49.95,0.92
worker-262,noncash_gift,0.925,0.65,0.85,0.35,0.0,0.55,54.88,63.03,0.822,51.83,0.944
worker-263,piece_rate,0.925,0.65,0.0,0.0,0.22,0.35,50.36,61.76,0.824,50.87,1.01
worker-264,employer_return,0.925,0.65,0.65,0.55,0.0,0.5,54.41,63.16,0.826,52.17,0.959
worker-265,control,0.96,0.75,0.0,0.0,0.0,0.15,50.9,61.41,0.844,51.83,1.018
worker-266,cash_gift,0.96,0.75,1.0,0.0,0.0,0.45,58.77,65.34,0.832,54.36,0.925
worker-267,noncash_gift,0.96,0.75,0.85,0.35,0.0,0.55,59.17,66.17,0.85,56.26,0.951
worker-268,piece_rate,0.96,0.75,0.0,0.0,0.22,0.35,53.76,64.38,0.852,54.83,1.02
worker-269,employer_return,0.96,0.75,0.65,0.55,0.0,0.5,58.49,66.19,0.854,56.52,0.966
worker-270,control,0.995,0.25,0.0,0.0,0.0,0.15,50.4,62.08,0.872,54.13,1.074
worker-271,cash_gift,0.995,0.25,1.0,0.0,0.0,0.45,53.02,63.44,0.86,54.55,1.029
worker-272,noncash_gift,0.995,0.25,0.85,0.35,0.0,0.55,54.21,64.68,0.878,56.81,1.048
worker-273,piece_rate,0.995,0.25,0.0,0.0,0.22,0.35,53.26,65.1,0.88,57.27,1.075
worker-274,employer_return,0.995,0.25,0.65,0.55,0.0,0.5,54.58,65.23,0.882,57.53,1.054
worker-275,control,1.03,0.35,0.0,0.0,0.0,0.15,43.3,59.19,0.76,44.99,1.039
worker-276,cash_gift,1.03,0.35,1.0,0.0,0.0,0.45,46.97,61.16,0.748,45.75,0.974
worker-277,noncash_gift,1.03,0.35,0.85,0.35,0.0,0.55,48.0,62.34,0.766,47.77,0.995
worker-278,piece_rate,1.03,0.35,0.0,0.0,0.22,0.35,46.16,62.26,0.768,47.8,1.036
worker-279,employer_return,1.03,0.35,0.65,0.55,0.0,0.5,48.16,62.79,0.77,48.34,1.004
worker-280,control,0.82,0.45,0.0,0.0,0.0,0.15,46.7,55.91,0.788,44.06,0.943
worker-281,cash_gift,0.82,0.45,1.0,0.0,0.0,0.45,51.43,57.93,0.776,44.95,0.874
worker-282,noncash_gift,0.82,0.45,0.85,0.35,0.0,0.55,52.29,58.93,0.794,46.81,0.895
worker-283,piece_rate,0.82,0.45,0.0,0.0,0.22,0.35,49.56,58.67,0.796,46.69,0.942
worker-284,employer_return,0.82,0.45,0.65,0.55,0.0,0.5,52.25,59.27,0.798,47.29,0.905
worker-285,control,0.855,0.55,0.0,0.0,0.0,0.15,46.2,56.54,0.816,46.14,0.999
worker-286,cash_gift,0.855,0.55,1.0,0.0,0.0,0.45,51.98,59.11,0.804,47.52,0.914
worker-287,noncash_gift,0.855,0.55,0.85,0.35,0.0,0.55,52.68,60.05,0.822,49.38,0.937
worker-288,piece_rate,0.855,0.55,0.0,0.0,0.22,0.35,49.06,59.35,0.824,48.89,0.997
worker-289,employer_return,0.855,0.55,0.65,0.55,0.0,0.5,52.43,60.3,0.826,49.8,0.95
worker-290,control,0.89,0.65,0.0,0.0,0.0,0.15,49.6,58.95,0.844,49.76,1.003
worker-291,cash_gift,0.89,0.65,1.0,0.0,0.0,0.45,56.42,62.11,0.832,51.68,0.916
worker-292,noncash_gift,0.89,0.65,0.85,0.35,0.0,0.55,56.98,63.0,0.85,53.57,0.94
worker-293,piece_rate,0.89,0.65,0.0,0.0,0.22,0.35,52.46,61.82,0.852,52.65,1.004
worker-294,employer_return,0.89,0.65,0.65,0.55,0.0,0.5,56.51,63.14,0.854,53.92,0.954
worker-295,control,0.925,0.75,0.0,0.0,0.0,0.15,53.0,61.49,0.872,53.62,1.012
worker-296,cash_gift,0.925,0.75,1.0,0.0,0.0,0.45,60.88,65.28,0.86,56.14,0.922
worker-297,noncash_gift,0.925,0.75,0.85,0.35,0.0,0.55,61.27,66.1,0.878,58.06,0.948
worker-298,piece_rate,0.925,0.75,0.0,0.0,0.22,0.35,55.86,64.41,0.88,56.66,1.014
worker-299,employer_return,0.925,0.75,0.65,0.55,0.0,0.5,60.59,66.14,0.882,58.32,0.963
worker-300,control,0.96,0.25,0.0,0.0,0.0,0.15,42.0,56.97,0.76,43.29,1.031
worker-301,cash_gift,0.96,0.25,1.0,0.0,0.0,0.45,44.62,58.28,0.748,43.59,0.977
worker-302,noncash_gift,0.96,0.25,0.85,0.35,0.0,0.55,45.81,59.5,0.766,45.59,0.995
worker-303,piece_rate,0.96,0.25,0.0,0.0,0.22,0.35,44.86,59.93,0.768,46.01,1.026
worker-304,employer_return,0.96,0.25,0.65,0.55,0.0,0.5,46.18,60.04,0.77,46.23,1.001
worker-305,control,0.995,0.35,0.0,0.0,0.0,0.15,45.4,59.49,0.788,46.88,1.033
worker-306,cash_gift,0.995,0.35,1.0,0.0,0.0,0.45,49.07,61.39,0.776,47.64,0.971
worker-307,noncash_gift,0.995,0.35,0.85,0.35,0.0,0.55,50.1,62.55,0.794,49.68,0.992
worker-308,piece_rate,0.995,0.35,0.0,0.0,0.22,0.35,48.26,62.51,0.796,49.74,1.031
worker-309,employer_return,0.995,0.35,0.65,0.55,0.0,0.5,50.26,63.0,0.798,50.26,1.0
worker-310,control,1.03,0.45,0.0,0.0,0.0,0.15,48.8,62.14,0.816,50.7,1.039
worker-311,cash_gift,1.03,0.45,1.0,0.0,0.0,0.45,53.53,64.67,0.804,51.99,0.971
worker-312,noncash_gift,1.03,0.45,0.85,0.35,0.0,0.55,54.39,65.76,0.822,54.08,0.994
worker-313,piece_rate,1.03,0.45,0.0,0.0,0.22,0.35,51.66,65.21,0.824,53.71,1.04
worker-314,employer_return,1.03,0.45,0.65,0.55,0.0,0.5,54.35,66.1,0.826,54.59,1.004
worker-315,control,0.82,0.55,0.0,0.0,0.0,0.15,48.3,56.6,0.844,47.77,0.989
worker-316,cash_gift,0.82,0.55,1.0,0.0,0.0,0.45,54.07,59.06,0.832,49.14,0.909
worker-317,noncash_gift,0.82,0.55,0.85,0.35,0.0,0.55,54.78,59.99,0.85,51.01,0.931
worker-318,piece_rate,0.82,0.55,0.0,0.0,0.22,0.35,51.16,59.35,0.852,50.55,0.988
worker-319,employer_return,0.82,0.55,0.65,0.55,0.0,0.5,54.53,60.24,0.854,51.44,0.943
worker-320,control,0.855,0.65,0.0,0.0,0.0,0.15,51.7,58.99,0.872,51.44,0.995
worker-321,cash_gift,0.855,0.65,1.0,0.0,0.0,0.45,58.52,62.02,0.86,53.34,0.911
worker-322,noncash_gift,0.855,0.65,0.85,0.35,0.0,0.55,59.08,62.9,0.878,55.24,0.935
worker-323,piece_rate,0.855,0.65,0.0,0.0,0.22,0.35,54.56,61.8,0.88,54.36,0.996
worker-324,employer_return,0.855,0.65,0.65,0.55,0.0,0.5,58.61,63.05,0.882,55.6,0.949
worker-325,control,0.89,0.75,0.0,0.0,0.0,0.15,44.6,56.64,0.76,43.05,0.965
worker-326,cash_gift,0.89,0.75,1.0,0.0,0.0,0.45,52.48,60.29,0.748,45.09,0.859
worker-327,noncash_gift,0.89,0.75,0.85,0.35,0.0,0.55,52.87,61.1,0.766,46.82,0.886
worker-328,piece_rate,0.89,0.75,0.0,0.0,0.22,0.35,47.46,59.5,0.768,45.68,0.963
worker-329,employer_return,0.89,0.75,0.65,0.55,0.0,0.5,52.19,61.15,0.77,47.08,0.902
worker-330,control,0.925,0.25,0.0,0.0,0.0,0.15,44.1,57.21,0.788,45.08,1.022
worker-331,cash_gift,0.925,0.25,1.0,0.0,0.0,0.45,46.73,58.47,0.776,45.38,0.971
worker-332,noncash_gift,0.925,0.25,0.85,0.35,0.0,0.55,47.91,59.67,0.794,47.4,0.989
worker-333,piece_rate,0.925,0.25,0.0,0.0,0.22,0.35,46.96,60.13,0.796,47.84,1.019
worker-334,employer_return,0.925,0.25,0.65,0.55,0.0,0.5,48.28,60.21,0.798,48.04,0.995
worker-335,control,0.96,0.35,0.0,0.0,0.0,0.15,47.5,59.71,0.816,48.72,1.026
worker-336,cash_gift,0.96,0.35,1.0,0.0,0.0,0.45,51.17,61.55,0.804,49.48,0.967
worker-337,noncash_gift,0.96,0.35,0.85,0.35,0.0,0.55,52.2,62.69,0.822,51.55,0.988
worker-338,piece_rate,0.96,0.35,0.0,0.0,0.22,0.35,50.36,62.68,0.824,51.63,1.025
worker-339,employer_return,0.96,0.35,0.65,0.55,0.0,0.5,52.36,63.13,0.826,52.14,0.996
worker-340,control,0.995,0.45,0.0,0.0,0.0,0.15,50.9,62.34,0.844,52.61,1.034
worker-341,cash_gift,0.995,0.45,1.0,0.0,0.0,0.45,55.62,64.78,0.832,53.9,0.969
worker-342,noncash_gift,0.995,0.45,0.85,0.35,0.0,0.55,56.49,65.86,0.85,56.0,0.991
worker-343,piece_rate,0.995,0.45,0.0,0.0,0.22,0.35,53.76,65.36,0.852,55.66,1.035
worker-344,employer_return,0.995,0.45,0.65,0.55,0.0,0.5,56.45,66.2,0.854,56.52,1.001
worker-345,control,1.03,0.55,0.0,0.0,0.0,0.15,50.4,62.99,0.872,54.93,1.09
worker-346,cash_gift,1.03,0.55,1.0,0.0,0.0,0.45,56.17,66.09,0.86,56.84,1.012
worker-347,noncash_gift,1.03,0.55,0.85,0.35,0.0,0.55,56.88,67.1,0.878,58.93,1.036
worker-348,piece_rate,1.03,0.55,0.0,0.0,0.22,0.35,53.26,66.07,0.88,58.12,1.091
worker-349,employer_return,1.03,0.55,0.65,0.55,0.0,0.5,56.63,67.32,0.882,59.37,1.048
worker-350,control,0.82,0.65,0.0,0.0,0.0,0.15,43.3,54.46,0.76,41.39,0.956
worker-351,cash_gift,0.82,0.65,1.0,0.0,0.0,0.45,50.12,57.37,0.748,42.92,0.856
worker-352,noncash_gift,0.82,0.65,0.85,0.35,0.0,0.55,50.68,58.24,0.766,44.63,0.881
worker-353,piece_rate,0.82,0.65,0.0,0.0,0.22,0.35,46.16,57.22,0.768,43.93,0.952
worker-354,employer_return,0.82,0.65,0.65,0.55,0.0,0.5,50.21,58.4,0.77,44.96,0.895
worker-355,control,0.855,0.75,0.0,0.0,0.0,0.15,46.7,56.76,0.788,44.73,0.958
worker-356,cash_gift,0.855,0.75,1.0,0.0,0.0,0.45,54.58,60.26,0.776,46.76,0.857
worker-357,noncash_gift,0.855,0.75,0.85,0.35,0.0,0.55,54.97,61.07,0.794,48.51,0.882
worker-358,piece_rate,0.855,0.75,0.0,0.0,0.22,0.35,49.56,59.57,0.796,47.4,0.956
worker-359,employer_return,0.855,0.75,0.65,0.55,0.0,0.5,54.29,61.13,0.798,48.77,0.898
worker-360,control,0.89,0.25,0.0,0.0,0.0,0.15,46.2,57.38,0.816,46.82,1.013
worker-361,cash_gift,0.89,0.25,1.0,0.0,0.0,0.45,48.83,58.6,0.804,47.11,0.965
worker-362,noncash_gift,0.89,0.25,0.85,0.35,0.0,0.55,50.01,59.77,0.822,49.15,0.983
worker-363,piece_rate,0.89,0.25,0.0,0.0,0.22,0.35,49.06,60.24,0.824,49.62,1.011
worker-364,employer_return,0.89,0.25,0.65,0.55,0.0,0.5,50.38,60.31,0.826,49.81,0.989
worker-365,control,0.925,0.35,0.0,0.0,0.0,0.15,49.6,59.86,0.844,50.52,1.019
worker-366,cash_gift,0.925,0.35,1.0,0.0,0.0,0.45,53.27,61.63,0.832,51.27,0.962
worker-367,noncash_gift,0.925,0.35,0.85,0.35,0.0,0.55,54.3,62.75,0.85,53.35,0.983
worker-368,piece_rate,0.925,0.35,0.0,0.0,0.22,0.35,52.46,62.77,0.852,53.46,1.019
worker-369,employer_return,0.925,0.35,0.65,0.55,0.0,0.5,54.46,63.19,0.854,53.96,0.991
worker-370,control,0.96,0.45,0.0,0.0,0.0,0.15,53.0,62.46,0.872,54.46,1.028
worker-371,cash_gift,0.96,0.45,1.0,0.0,0.0,0.45,57.73,64.82,0.86,55.74,0.966
worker-372,noncash_gift,0.96,0.45,0.85,0.35,0.0,0.55,58.59,65.88,0.878,57.86,0.988
worker-373,piece_rate,0.96,0.45,0.0,0.0,0.22,0.35,55.86,65.43,0.88,57.55,1.03
worker-374,employer_return,0.96,0.45,0.65,0.55,0.0,0.5,58.55,66.22,0.882,58.4,0.997
worker-375,control,0.995,0.55,0.0,0.0,0.0,0.15,42.0,57.73,0.76,43.88,1.045
worker-376,cash_gift,0.995,0.55,1.0,0.0,0.0,0.45,47.77,60.72,0.748,45.42,0.951
worker-377,noncash_gift,0.995,0.55,0.85,0.35,0.0,0.55,48.48,61.72,0.766,47.29,0.975
worker-378,piece_rate,0.995,0.55,0.0,0.0,0.22,0.35,44.86,60.75,0.768,46.64,1.04
worker-379,employer_return,0.995,0.55,0.65,0.55,0.0,0.5,48.23,61.94,0.77,47.69,0.989
worker-380,control,1.03,0.65,0.0,0.0,0.0,0.15,45.4,60.32,0.788,47.53,1.047
worker-381,cash_gift,1.03,0.65,1.0,0.0,0.0,0.45,52.23,63.97,0.776,49.64,0.951
worker-382,noncash_gift,1.03,0.65,0.85,0.35,0.0,0.55,52.78,64.9,0.794,51.55,0.977
worker-383,piece_rate,1.03,0.65,0.0,0.0,0.22,0.35,48.26,63.39,0.796,50.44,1.045
worker-384,employer_return,1.03,0.65,0.65,0.55,0.0,0.5,52.31,65.01,0.798,51.87,0.992
worker-385,control,0.82,0.75,0.0,0.0,0.0,0.15,48.8,56.81,0.816,46.36,0.95
worker-386,cash_gift,0.82,0.75,1.0,0.0,0.0,0.45,56.68,60.17,0.804,48.37,0.854
worker-387,noncash_gift,0.82,0.75,0.85,0.35,0.0,0.55,57.07,60.96,0.822,50.13,0.878
worker-388,piece_rate,0.82,0.75,0.0,0.0,0.22,0.35,51.66,59.57,0.824,49.07,0.95
worker-389,employer_return,0.82,0.75,0.65,0.55,0.0,0.5,56.39,61.04,0.826,50.41,0.894
worker-390,control,0.855,0.25,0.0,0.0,0.0,0.15,48.3,57.47,0.844,48.51,1.004
worker-391,cash_gift,0.855,0.25,1.0,0.0,0.0,0.45,50.92,58.64,0.832,48.79,0.958
worker-392,noncash_gift,0.855,0.25,0.85,0.35,0.0,0.55,52.11,59.8,0.85,50.84,0.976
worker-393,piece_rate,0.855,0.25,0.0,0.0,0.22,0.35,51.16,60.29,0.852,51.35,1.004
worker-394,employer_return,0.855,0.25,0.65,0.55,0.0,0.5,52.48,60.32,0.854,51.51,0.981
worker-395,control,0.89,0.35,0.0,0.0,0.0,0.15,51.7,59.93,0.872,52.26,1.011
worker-396,cash_gift,0.89,0.35,1.0,0.0,0.0,0.45,55.37,61.63,0.86,53.0,0.957
worker-397,noncash_gift,0.89,0.35,0.85,0.35,0.0,0.55,56.4,62.73,0.878,55.1,0.977
worker-398,piece_rate,0.89,0.35,0.0,0.0,0.22,0.35,54.56,62.79,0.88,55.24,1.012
worker-399,employer_return,0.89,0.35,0.65,0.55,0.0,0.5,56.56,63.17,0.882,55.71,0.985
worker-400,control,0.925,0.45,0.0,0.0,0.0,0.15,44.6,57.45,0.76,43.66,0.979
worker-401,cash_gift,0.925,0.45,1.0,0.0,0.0,0.45,49.33,59.73,0.748,44.67,0.906
worker-402,noncash_gift,0.925,0.45,0.85,0.35,0.0,0.55,50.19,60.77,0.766,46.57,0.928
worker-403,piece_rate,0.925,0.45,0.0,0.0,0.22,0.35,47.46,60.37,0.768,46.34,0.977
worker-404,employer_return,0.925,0.45,0.65,0.55,0.0,0.5,50.15,61.11,0.77,47.05,0.938
worker-405,control,0.96,0.55,0.0,0.0,0.0,0.15,44.1,58.01,0.788,45.72,1.037
worker-406,cash_gift,0.96,0.55,1.0,0.0,0.0,0.45,49.88,60.9,0.776,47.26,0.947
worker-407,noncash_gift,0.96,0.55,0.85,0.35,0.0,0.55,50.58,61.88,0.794,49.15,0.972
worker-408,piece_rate,0.96,0.55,0.0,0.0,0.22,0.35,46.96,60.98,0.796,48.52,1.033
worker-409,employer_return,0.96,0.55,0.65,0.55,0.0,0.5,50.33,62.11,0.798,49.56,0.985
worker-410,control,0.995,0.65,0.0,0.0,0.0,0.15,47.5,60.58,0.816,49.43,1.041
worker-411,cash_gift,0.995,0.65,1.0,0.0,0.0,0.45,54.33,64.11,0.804,51.54,0.949
worker-412,noncash_gift,0.995,0.65,0.85,0.35,0.0,0.55,54.88,65.02,0.822,53.47,0.974
worker-413,piece_rate,0.995,0.65,0.0,0.0,0.22,0.35,50.36,63.6,0.824,52.38,1.04
worker-414,employer_return,0.995,0.65,0.65,0.55,0.0,0.5,54.41,65.14,0.826,53.8,0.989
worker-415,control,1.03,0.75,0.0,0.0,0.0,0.15,50.9,63.26,0.844,53.39,1.049
worker-416,cash_gift,1.03,0.75,1.0,0.0,0.0,0.45,58.77,67.48,0.832,56.14,0.955
worker-417,noncash_gift,1.03,0.75,0.85,0.35,0.0,0.55,59.17,68.32,0.85,58.09,0.982
worker-418,piece_rate,1.03,0.75,0.0,0.0,0.22,0.35,53.76,66.33,0.852,56.5,1.051
worker-419,employer_return,1.03,0.75,0.65,0.55,0.0,0.5,58.49,68.32,0.854,58.34,0.997
worker-420,control,0.82,0.25,0.0,0.0,0.0,0.15,50.4,57.49,0.872,50.13,0.995
worker-421,cash_gift,0.82,0.25,1.0,0.0,0.0,0.45,53.02,58.61,0.86,50.4,0.951
worker-422,noncash_gift,0.82,0.25,0.85,0.35,0.0,0.55,54.21,59.74,0.878,52.47,0.968
worker-423,piece_rate,0.82,0.25,0.0,0.0,0.22,0.35,53.26,60.25,0.88,53.0,0.995
worker-424,employer_return,0.82,0.25,0.65,0.55,0.0,0.5,54.58,60.26,0.882,53.15,0.974
worker-425,control,0.855,0.35,0.0,0.0,0.0,0.15,43.3,55.25,0.76,41.99,0.97
worker-426,cash_gift,0.855,0.35,1.0,0.0,0.0,0.45,46.97,56.89,0.748,42.55,0.906
worker-427,noncash_gift,0.855,0.35,0.85,0.35,0.0,0.55,48.0,57.97,0.766,44.42,0.925
worker-428,piece_rate,0.855,0.35,0.0,0.0,0.22,0.35,46.16,58.06,0.768,44.57,0.966
worker-429,employer_return,0.855,0.35,0.65,0.55,0.0,0.5,48.16,58.4,0.77,44.96,0.934
worker-430,control,0.89,0.45,0.0,0.0,0.0,0.15,46.7,57.61,0.788,45.4,0.972
worker-431,cash_gift,0.89,0.45,1.0,0.0,0.0,0.45,51.43,59.8,0.776,46.4,0.902
worker-432,noncash_gift,0.89,0.45,0.85,0.35,0.0,0.55,52.29,60.83,0.794,48.32,0.924
worker-433,piece_rate,0.89,0.45,0.0,0.0,0.22,0.35,49.56,60.48,0.796,48.12,0.971
worker-434,employer_return,0.89,0.45,0.65,0.55,0.0,0.5,52.25,61.17,0.798,48.81,0.934
worker-435,control,0.925,0.55,0.0,0.0,0.0,0.15,46.2,58.22,0.816,47.51,1.028
worker-436,cash_gift,0.925,0.55,1.0,0.0,0.0,0.45,51.98,61.0,0.804,49.04,0.944
worker-437,noncash_gift,0.925,0.55,0.85,0.35,0.0,0.55,52.68,61.97,0.822,50.96,0.967
worker-438,piece_rate,0.925,0.55,0.0,0.0,0.22,0.35,49.06,61.14,0.824,50.36,1.026
worker-439,employer_return,0.925,0.55,0.65,0.55,0.0,0.5,52.43,62.21,0.826,51.38,0.98
worker-440,control,0.96,0.65,0.0,0.0,0.0,0.15,49.6,60.76,0.844,51.28,1.034
worker-441,cash_gift,0.96,0.65,1.0,0.0,0.0,0.45,56.42,64.17,0.832,53.39,0.946
worker-442,noncash_gift,0.96,0.65,0.85,0.35,0.0,0.55,56.98,65.07,0.85,55.33,0.971
worker-443,piece_rate,0.96,0.65,0.0,0.0,0.22,0.35,52.46,63.73,0.852,54.28,1.035
worker-444,employer_return,0.96,0.65,0.65,0.55,0.0,0.5,56.51,65.2,0.854,55.67,0.985
worker-445,control,0.995,0.75,0.0,0.0,0.0,0.15,53.0,63.42,0.872,55.3,1.043
worker-446,cash_gift,0.995,0.75,1.0,0.0,0.0,0.45,60.88,67.5,0.86,58.05,0.954
worker-447,noncash_gift,0.995,0.75,0.85,0.35,0.0,0.55,61.27,68.33,0.878,60.01,0.98
worker-448,piece_rate,0.995,0.75,0.0,0.0,0.22,0.35,55.86,66.44,0.88,58.45,1.046
worker-449,employer_return,0.995,0.75,0.65,0.55,0.0,0.5,60.59,68.34,0.882,60.27,0.995
worker-450,control,1.03,0.25,0.0,0.0,0.0,0.15,42.0,58.5,0.76,44.46,1.058
worker-451,cash_gift,1.03,0.25,1.0,0.0,0.0,0.45,44.62,59.9,0.748,44.81,1.004
worker-452,noncash_gift,1.03,0.25,0.85,0.35,0.0,0.55,45.81,61.16,0.766,46.87,1.023
worker-453,piece_rate,1.03,0.25,0.0,0.0,0.22,0.35,44.86,61.57,0.768,47.26,1.054
worker-454,employer_return,1.03,0.25,0.65,0.55,0.0,0.5,46.18,61.72,0.77,47.52,1.029
worker-455,control,0.82,0.35,0.0,0.0,0.0,0.15,45.4,55.36,0.788,43.62,0.961
worker-456,cash_gift,0.82,0.35,1.0,0.0,0.0,0.45,49.07,56.93,0.776,44.17,0.9
worker-457,noncash_gift,0.82,0.35,0.85,0.35,0.0,0.55,50.1,57.99,0.794,46.06,0.919
worker-458,piece_rate,0.82,0.35,0.0,0.0,0.22,0.35,48.26,58.12,0.796,46.24,0.958
worker-459,employer_return,0.82,0.35,0.65,0.55,0.0,0.5,50.26,58.42,0.798,46.62,0.927
worker-460,control,0.855,0.45,0.0,0.0,0.0,0.15,48.8,57.7,0.816,47.08,0.965
worker-461,cash_gift,0.855,0.45,1.0,0.0,0.0,0.45,53.53,59.8,0.804,48.08,0.898
worker-462,noncash_gift,0.855,0.45,0.85,0.35,0.0,0.55,54.39,60.81,0.822,50.01,0.919
worker-463,piece_rate,0.855,0.45,0.0,0.0,0.22,0.35,51.66,60.51,0.824,49.84,0.965
worker-464,employer_return,0.855,0.45,0.65,0.55,0.0,0.5,54.35,61.15,0.826,50.51,0.929
worker-465,control,0.89,0.55,0.0,0.0,0.0,0.15,48.3,58.35,0.844,49.25,1.02
worker-466,cash_gift,0.89,0.55,1.0,0.0,0.0,0.45,54.07,61.03,0.832,50.77,0.939
worker-467,noncash_gift,0.89,0.55,0.85,0.35,0.0,0.55,54.78,61.98,0.85,52.7,0.962
worker-468,piece_rate,0.89,0.55,0.0,0.0,0.22,0.35,51.16,61.22,0.852,52.14,1.019
worker-469,employer_return,0.89,0.55,0.65,0.55,0.0,0.5,54.53,62.23,0.854,53.13,0.974
worker-470,control,0.925,0.65,0.0,0.0,0.0,0.15,51.7,60.87,0.872,53.08,1.027
worker-471,cash_gift,0.925,0.65,1.0,0.0,0.0,0.45,58.52,64.15,0.86,55.17,0.943
worker-472,noncash_gift,0.925,0.65,0.85,0.35,0.0,0.55,59.08,65.05,0.878,57.13,0.967
worker-473,piece_rate,0.925,0.65,0.0,0.0,0.22,0.35,54.56,63.78,0.88,56.11,1.028
worker-474,employer_return,0.925,0.65,0.65,0.55,0.0,0.5,58.61,65.18,0.882,57.48,0.981
worker-475,control,0.96,0.75,0.0,0.0,0.0,0.15,44.6,58.26,0.76,44.28,0.993
worker-476,cash_gift,0.96,0.75,1.0,0.0,0.0,0.45,52.48,62.2,0.748,46.52,0.887
worker-477,noncash_gift,0.96,0.75,0.85,0.35,0.0,0.55,52.87,63.02,0.766,48.29,0.913
worker-478,piece_rate,0.96,0.75,0.0,0.0,0.22,0.35,47.46,61.23,0.768,47.01,0.99
worker-479,employer_return,0.96,0.75,0.65,0.55,0.0,0.5,52.19,63.05,0.77,48.54,0.93
worker-480,control,0.995,0.25,0.0,0.0,0.0,0.15,44.1,58.82,0.788,46.35,1.051
worker-481,cash_gift,0.995,0.25,1.0,0.0,0.0,0.45,46.73,60.18,0.776,46.7,0.999
worker-482,noncash_gift,0.995,0.25,0.85,0.35,0.0,0.55,47.91,61.42,0.794,48.78,1.018
worker-483,piece_rate,0.995,0.25,0.0,0.0,0.22,0.35,46.96,61.84,0.796,49.2,1.048
worker-484,employer_return,0.995,0.25,0.65,0.55,0.0,0.5,48.28,61.97,0.798,49.45,1.024
worker-485,control,1.03,0.35,0.0,0.0,0.0,0.15,47.5,61.44,0.816,50.14,1.055
worker-486,cash_gift,1.03,0.35,1.0,0.0,0.0,0.45,51.17,63.41,0.804,50.98,0.996
worker-487,noncash_gift,1.03,0.35,0.85,0.35,0.0,0.55,52.2,64.59,0.822,53.11,1.017
worker-488,piece_rate,1.03,0.35,0.0,0.0,0.22,0.35,50.36,64.51,0.824,53.14,1.055
worker-489,employer_return,1.03,0.35,0.65,0.55,0.0,0.5,52.36,65.04,0.826,53.71,1.026
worker-490,control,0.82,0.45,0.0,0.0,0.0,0.15,50.9,57.7,0.844,48.7,0.957
worker-491,cash_gift,0.82,0.45,1.0,0.0,0.0,0.45,55.62,59.72,0.832,49.69,0.893
worker-492,noncash_gift,0.82,0.45,0.85,0.35,0.0,0.55,56.49,60.72,0.85,51.63,0.914
worker-493,piece_rate,0.82,0.45,0.0,0.0,0.22,0.35,53.76,60.46,0.852,51.5,0.958
worker-494,employer_return,0.82,0.45,0.65,0.55,0.0,0.5,56.45,61.06,0.854,52.14,0.924
worker-495,control,0.855,0.55,0.0,0.0,0.0,0.15,50.4,58.41,0.872,50.93,1.011
worker-496,cash_gift,0.855,0.55,1.0,0.0,0.0,0.45,56.17,60.98,0.86,52.44,0.933
worker-497,noncash_gift,0.855,0.55,0.85,0.35,0.0,0.55,56.88,61.92,0.878,54.38,0.956
worker-498,piece_rate,0.855,0.55,0.0,0.0,0.22,0.35,53.26,61.22,0.88,53.85,1.011
worker-499,employer_return,0.855,0.55,0.65,0.55,0.0,0.5,56.63,62.17,0.882,54.83,0.968
worker-500,control,0.89,0.65,0.0,0.0,0.0,0.15,43.3,56.04,0.76,42.59,0.984
worker-501,cash_gift,0.89,0.65,1.0,0.0,0.0,0.45,50.12,59.2,0.748,44.28,0.883
worker-502,noncash_gift,0.89,0.65,0.85,0.35,0.0,0.55,50.68,60.08,0.766,46.04,0.909
worker-503,piece_rate,0.89,0.65,0.0,0.0,0.22,0.35,46.16,58.9,0.768,45.22,0.98
worker-504,employer_return,0.89,0.65,0.65,0.55,0.0,0.5,50.21,60.23,0.77,46.37,0.923
worker-505,control,0.925,0.75,0.0,0.0,0.0,0.15,46.7,58.46,0.788,46.07,0.986
worker-506,cash_gift,0.925,0.75,1.0,0.0,0.0,0.45,54.58,62.25,0.776,48.31,0.885
worker-507,noncash_gift,0.925,0.75,0.85,0.35,0.0,0.55,54.97,63.07,0.794,50.1,0.911
worker-508,piece_rate,0.925,0.75,0.0,0.0,0.22,0.35,49.56,61.38,0.796,48.84,0.985
worker-509,employer_return,0.925,0.75,0.65,0.55,0.0,0.5,54.29,63.11,0.798,50.35,0.927
worker-510,control,0.96,0.25,0.0,0.0,0.0,0.15,46.2,59.06,0.816,48.2,1.043
