worker_id,regime,skill,relationship_capital,evaluation_weight,discretion,influence_activity,productive_effort,objective_output,subjective_rating,pay_index
eval-worker-263,subjective_high_discretion,1.025,0.44,0.62,0.58,6.73,75.37,67.84,1.981,53.92
eval-worker-264,objective_metric,0.78,0.52,0.15,0.1,5.98,73.79,57.56,0.731,38.29
eval-worker-265,subjective_low_discretion,0.78,0.52,0.38,0.32,7.18,71.25,55.58,1.328,40.16
eval-worker-266,subjective_high_discretion,0.78,0.52,0.62,0.58,8.42,70.69,55.14,2.257,47.03
eval-worker-267,objective_metric,0.815,0.6,0.15,0.1,7.3,73.76,60.48,0.814,40.29
eval-worker-268,subjective_low_discretion,0.815,0.6,0.38,0.32,8.68,71.13,58.33,1.536,42.58
eval-worker-269,subjective_high_discretion,0.815,0.6,0.62,0.58,10.12,70.49,57.8,2.645,50.69
eval-worker-270,objective_metric,0.85,0.2,0.15,0.1,4.3,75.66,65.07,0.668,43.1
eval-worker-271,subjective_low_discretion,0.85,0.2,0.38,0.32,4.76,73.46,63.17,1.048,44.25
eval-worker-272,subjective_high_discretion,0.85,0.2,0.62,0.58,5.24,73.24,62.99,1.592,48.84
eval-worker-273,objective_metric,0.885,0.28,0.15,0.1,5.62,75.63,68.07,0.752,45.15
eval-worker-274,subjective_low_discretion,0.885,0.28,0.38,0.32,6.26,73.34,66.01,1.256,46.72
eval-worker-275,subjective_high_discretion,0.885,0.28,0.62,0.58,6.94,73.04,65.73,1.981,52.55
eval-worker-276,objective_metric,0.92,0.36,0.15,0.1,6.94,75.6,58.97,0.747,39.22
eval-worker-277,subjective_low_discretion,0.92,0.36,0.38,0.32,7.77,73.22,57.12,1.379,41.32
eval-worker-278,subjective_high_discretion,0.92,0.36,0.62,0.58,8.63,72.84,56.81,2.284,48.26
eval-worker-279,objective_metric,0.955,0.44,0.15,0.1,4.66,77.18,63.29,0.711,41.99
eval-worker-280,subjective_low_discretion,0.955,0.44,0.38,0.32,5.67,74.73,61.28,1.182,43.42
eval-worker-281,subjective_high_discretion,0.955,0.44,0.62,0.58,6.73,74.25,60.89,1.931,49.15
eval-worker-282,objective_metric,0.99,0.52,0.15,0.1,5.98,77.15,66.35,0.795,44.08
eval-worker-283,subjective_low_discretion,0.99,0.52,0.38,0.32,7.18,74.61,64.17,1.391,45.94
eval-worker-284,subjective_high_discretion,0.99,0.52,0.62,0.58,8.42,74.05,63.68,2.32,52.9
eval-worker-285,objective_metric,1.025,0.6,0.15,0.1,7.3,77.12,69.4,0.88,46.17
eval-worker-286,subjective_low_discretion,1.025,0.6,0.38,0.32,8.68,74.49,67.04,1.6,48.44
eval-worker-287,subjective_high_discretion,1.025,0.6,0.62,0.58,10.12,73.85,66.46,2.708,56.63
eval-worker-288,objective_metric,0.78,0.2,0.15,0.1,4.3,74.55,58.15,0.617,38.53
eval-worker-289,subjective_low_discretion,0.78,0.2,0.38,0.32,4.76,72.34,56.42,0.998,39.71
eval-worker-290,subjective_high_discretion,0.78,0.2,0.62,0.58,5.24,72.12,56.26,1.543,44.22
eval-worker-291,objective_metric,0.815,0.28,0.15,0.1,5.62,74.51,61.1,0.701,40.56
eval-worker-292,subjective_low_discretion,0.815,0.28,0.38,0.32,6.26,72.22,59.22,1.206,42.16
eval-worker-293,subjective_high_discretion,0.815,0.28,0.62,0.58,6.94,71.92,58.97,1.931,47.91
eval-worker-294,objective_metric,0.85,0.36,0.15,0.1,6.94,74.48,64.05,0.784,42.57
eval-worker-295,subjective_low_discretion,0.85,0.36,0.38,0.32,7.77,72.1,62.01,1.414,44.61
eval-worker-296,subjective_high_discretion,0.85,0.36,0.62,0.58,8.63,71.72,61.68,2.319,51.59
eval-worker-297,objective_metric,0.885,0.44,0.15,0.1,4.66,76.06,68.46,0.749,45.4
eval-worker-298,subjective_low_discretion,0.885,0.44,0.38,0.32,5.67,73.61,66.25,1.218,46.76
eval-worker-299,subjective_high_discretion,0.885,0.44,0.62,0.58,6.73,73.13,65.82,1.967,52.54
eval-worker-300,objective_metric,0.92,0.52,0.15,0.1,5.98,76.03,59.3,0.744,39.44
eval-worker-301,subjective_low_discretion,0.92,0.52,0.38,0.32,7.18,73.49,57.32,1.341,41.34
eval-worker-302,subjective_high_discretion,0.92,0.52,0.62,0.58,8.42,72.93,56.88,2.27,48.23
eval-worker-303,objective_metric,0.955,0.6,0.15,0.1,7.3,76.0,62.32,0.828,41.5
eval-worker-304,subjective_low_discretion,0.955,0.6,0.38,0.32,8.68,73.37,60.17,1.549,43.82
eval-worker-305,subjective_high_discretion,0.955,0.6,0.62,0.58,10.12,72.73,59.64,2.658,51.95
eval-worker-306,objective_metric,0.99,0.2,0.15,0.1,4.3,77.91,67.0,0.682,44.37
eval-worker-307,subjective_low_discretion,0.99,0.2,0.38,0.32,4.76,75.7,65.1,1.062,45.54
eval-worker-308,subjective_high_discretion,0.99,0.2,0.62,0.58,5.24,75.48,64.91,1.606,50.16
eval-worker-309,objective_metric,1.025,0.28,0.15,0.1,5.62,77.87,70.08,0.767,46.47
eval-worker-310,subjective_low_discretion,1.025,0.28,0.38,0.32,6.26,75.58,68.02,1.271,48.08
eval-worker-311,subjective_high_discretion,1.025,0.28,0.62,0.58,6.94,75.28,67.75,1.995,53.94
eval-worker-312,objective_metric,0.78,0.36,0.15,0.1,6.94,73.36,57.22,0.734,38.07
eval-worker-313,subjective_low_discretion,0.78,0.36,0.38,0.32,7.77,70.98,55.37,1.366,40.14
eval-worker-314,subjective_high_discretion,0.78,0.36,0.62,0.58,8.63,70.6,55.06,2.271,47.06
eval-worker-315,objective_metric,0.815,0.44,0.15,0.1,4.66,74.94,61.45,0.698,40.78
eval-worker-316,subjective_low_discretion,0.815,0.44,0.38,0.32,5.67,72.49,59.44,1.169,42.19
eval-worker-317,subjective_high_discretion,0.815,0.44,0.62,0.58,6.73,72.01,59.05,1.917,47.89
eval-worker-318,objective_metric,0.85,0.52,0.15,0.1,5.98,74.91,64.42,0.781,42.81
eval-worker-319,subjective_low_discretion,0.85,0.52,0.38,0.32,7.18,72.37,62.24,1.377,44.64
eval-worker-320,subjective_high_discretion,0.85,0.52,0.62,0.58,8.42,71.81,61.76,2.305,51.58
eval-worker-321,objective_metric,0.885,0.6,0.15,0.1,7.3,74.88,67.39,0.865,44.84
eval-worker-322,subjective_low_discretion,0.885,0.6,0.38,0.32,8.68,72.25,65.03,1.585,47.09
eval-worker-323,subjective_high_discretion,0.885,0.6,0.62,0.58,10.12,71.61,64.45,2.694,55.25
eval-worker-324,objective_metric,0.92,0.2,0.15,0.1,4.3,76.78,59.89,0.63,39.69
eval-worker-325,subjective_low_discretion,0.92,0.2,0.38,0.32,4.76,74.58,58.17,1.011,40.88
eval-worker-326,subjective_high_discretion,0.92,0.2,0.62,0.58,5.24,74.36,58.0,1.555,45.42
eval-worker-327,objective_metric,0.955,0.28,0.15,0.1,5.62,76.75,62.94,0.714,41.77
eval-worker-328,subjective_low_discretion,0.955,0.28,0.38,0.32,6.26,74.46,61.06,1.22,43.4
eval-worker-329,subjective_high_discretion,0.955,0.28,0.62,0.58,6.94,74.16,60.81,1.945,49.17
eval-worker-330,objective_metric,0.99,0.36,0.15,0.1,6.94,76.72,65.98,0.798,43.84
eval-worker-331,subjective_low_discretion,0.99,0.36,0.38,0.32,7.77,74.34,63.94,1.429,45.9
eval-worker-332,subjective_high_discretion,0.99,0.36,0.62,0.58,8.63,73.96,63.6,2.334,52.92
eval-worker-333,objective_metric,1.025,0.44,0.15,0.1,4.66,78.3,70.47,0.764,46.72
eval-worker-334,subjective_low_discretion,1.025,0.44,0.38,0.32,5.67,75.85,68.26,1.233,48.12
eval-worker-335,subjective_high_discretion,1.025,0.44,0.62,0.58,6.73,75.37,67.84,1.981,53.92
eval-worker-336,objective_metric,0.78,0.52,0.15,0.1,5.98,73.79,57.56,0.731,38.29
eval-worker-337,subjective_low_discretion,0.78,0.52,0.38,0.32,7.18,71.25,55.58,1.328,40.16
eval-worker-338,subjective_high_discretion,0.78,0.52,0.62,0.58,8.42,70.69,55.14,2.257,47.03
eval-worker-339,objective_metric,0.815,0.6,0.15,0.1,7.3,73.76,60.48,0.814,40.29
eval-worker-340,subjective_low_discretion,0.815,0.6,0.38,0.32,8.68,71.13,58.33,1.536,42.58
eval-worker-341,subjective_high_discretion,0.815,0.6,0.62,0.58,10.12,70.49,57.8,2.645,50.69
eval-worker-342,objective_metric,0.85,0.2,0.15,0.1,4.3,75.66,65.07,0.668,43.1
eval-worker-343,subjective_low_discretion,0.85,0.2,0.38,0.32,4.76,73.46,63.17,1.048,44.25
eval-worker-344,subjective_high_discretion,0.85,0.2,0.62,0.58,5.24,73.24,62.99,1.592,48.84
eval-worker-345,objective_metric,0.885,0.28,0.15,0.1,5.62,75.63,68.07,0.752,45.15
eval-worker-346,subjective_low_discretion,0.885,0.28,0.38,0.32,6.26,73.34,66.01,1.256,46.72
eval-worker-347,subjective_high_discretion,0.885,0.28,0.62,0.58,6.94,73.04,65.73,1.981,52.55
eval-worker-348,objective_metric,0.92,0.36,0.15,0.1,6.94,75.6,58.97,0.747,39.22
eval-worker-349,subjective_low_discretion,0.92,0.36,0.38,0.32,7.77,73.22,57.12,1.379,41.32
eval-worker-350,subjective_high_discretion,0.92,0.36,0.62,0.58,8.63,72.84,56.81,2.284,48.26
eval-worker-351,objective_metric,0.955,0.44,0.15,0.1,4.66,77.18,63.29,0.711,41.99
eval-worker-352,subjective_low_discretion,0.955,0.44,0.38,0.32,5.67,74.73,61.28,1.182,43.42
eval-worker-353,subjective_high_discretion,0.955,0.44,0.62,0.58,6.73,74.25,60.89,1.931,49.15
eval-worker-354,objective_metric,0.99,0.52,0.15,0.1,5.98,77.15,66.35,0.795,44.08
eval-worker-355,subjective_low_discretion,0.99,0.52,0.38,0.32,7.18,74.61,64.17,1.391,45.94
eval-worker-356,subjective_high_discretion,0.99,0.52,0.62,0.58,8.42,74.05,63.68,2.32,52.9
eval-worker-357,objective_metric,1.025,0.6,0.15,0.1,7.3,77.12,69.4,0.88,46.17
eval-worker-358,subjective_low_discretion,1.025,0.6,0.38,0.32,8.68,74.49,67.04,1.6,48.44
eval-worker-359,subjective_high_discretion,1.025,0.6,0.62,0.58,10.12,73.85,66.46,2.708,56.63
