worker_id,arm,bonus_rate,monitoring_intensity,feedback_score,digital_visibility,reciprocity_index,relational_motivation,visible_effort,productive_output,compliance_actions,gaming_score
monitor-worker-261,pay_only,0.2,0.12,0.18,0,0.49,0.49,90.3,91.64,9.44,0.226
monitor-worker-262,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,92.6,89.19,14.96,0.364
monitor-worker-263,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,96.7,93.54,15.2,0.412
monitor-worker-264,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,98.11,92.63,19.34,0.48
monitor-worker-265,control,0.0,0.12,0.18,0,0.56,0.56,88.5,89.72,10.44,0.176
monitor-worker-266,pay_only,0.2,0.12,0.18,0,0.56,0.56,92.1,93.72,10.44,0.226
monitor-worker-267,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,94.4,91.27,15.96,0.364
monitor-worker-268,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,98.5,95.62,16.2,0.412
monitor-worker-269,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,99.91,94.71,20.34,0.48
monitor-worker-270,control,0.0,0.12,0.18,0,0.63,0.63,74.1,75.6,11.44,0.176
monitor-worker-271,pay_only,0.2,0.12,0.18,0,0.63,0.63,77.7,79.6,11.44,0.226
monitor-worker-272,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,80.0,77.15,16.96,0.364
monitor-worker-273,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,84.1,81.5,17.2,0.412
monitor-worker-274,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,85.51,80.59,21.34,0.48
monitor-worker-275,control,0.0,0.12,0.18,0,0.35,0.35,75.9,76.28,12.44,0.176
monitor-worker-276,pay_only,0.2,0.12,0.18,0,0.35,0.35,79.5,80.28,12.44,0.226
monitor-worker-277,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,81.8,77.83,17.96,0.364
monitor-worker-278,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,85.9,82.18,18.2,0.412
monitor-worker-279,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,87.31,81.27,22.34,0.48
monitor-worker-280,control,0.0,0.12,0.18,0,0.42,0.42,77.7,78.36,9.44,0.176
monitor-worker-281,pay_only,0.2,0.12,0.18,0,0.42,0.42,81.3,82.36,9.44,0.226
monitor-worker-282,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,83.6,79.91,14.96,0.364
monitor-worker-283,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,87.7,84.26,15.2,0.412
monitor-worker-284,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,89.11,83.35,19.34,0.48
monitor-worker-285,control,0.0,0.12,0.18,0,0.49,0.49,79.5,80.44,10.44,0.176
monitor-worker-286,pay_only,0.2,0.12,0.18,0,0.49,0.49,83.1,84.44,10.44,0.226
monitor-worker-287,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,85.4,81.99,15.96,0.364
monitor-worker-288,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,89.5,86.34,16.2,0.412
monitor-worker-289,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,90.91,85.43,20.34,0.48
monitor-worker-290,control,0.0,0.12,0.18,0,0.56,0.56,81.3,82.52,11.44,0.176
monitor-worker-291,pay_only,0.2,0.12,0.18,0,0.56,0.56,84.9,86.52,11.44,0.226
monitor-worker-292,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,87.2,84.07,16.96,0.364
monitor-worker-293,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,91.3,88.42,17.2,0.412
monitor-worker-294,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,92.71,87.51,21.34,0.48
monitor-worker-295,control,0.0,0.12,0.18,0,0.63,0.63,83.1,84.6,12.44,0.176
monitor-worker-296,pay_only,0.2,0.12,0.18,0,0.63,0.63,86.7,88.6,12.44,0.226
monitor-worker-297,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,89.0,86.15,17.96,0.364
monitor-worker-298,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,93.1,90.5,18.2,0.412
monitor-worker-299,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,94.51,89.59,22.34,0.48
monitor-worker-300,control,0.0,0.12,0.18,0,0.35,0.35,84.9,85.28,9.44,0.176
monitor-worker-301,pay_only,0.2,0.12,0.18,0,0.35,0.35,88.5,89.28,9.44,0.226
monitor-worker-302,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,90.8,86.83,14.96,0.364
monitor-worker-303,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,94.9,91.18,15.2,0.412
monitor-worker-304,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,96.31,90.27,19.34,0.48
monitor-worker-305,control,0.0,0.12,0.18,0,0.42,0.42,86.7,87.36,10.44,0.176
monitor-worker-306,pay_only,0.2,0.12,0.18,0,0.42,0.42,90.3,91.36,10.44,0.226
monitor-worker-307,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,92.6,88.91,15.96,0.364
monitor-worker-308,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,96.7,93.26,16.2,0.412
monitor-worker-309,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,98.11,92.35,20.34,0.48
monitor-worker-310,control,0.0,0.12,0.18,0,0.49,0.49,88.5,89.44,11.44,0.176
monitor-worker-311,pay_only,0.2,0.12,0.18,0,0.49,0.49,92.1,93.44,11.44,0.226
monitor-worker-312,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,94.4,90.99,16.96,0.364
monitor-worker-313,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,98.5,95.34,17.2,0.412
monitor-worker-314,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,99.91,94.43,21.34,0.48
monitor-worker-315,control,0.0,0.12,0.18,0,0.56,0.56,74.1,75.32,12.44,0.176
monitor-worker-316,pay_only,0.2,0.12,0.18,0,0.56,0.56,77.7,79.32,12.44,0.226
monitor-worker-317,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,80.0,76.87,17.96,0.364
monitor-worker-318,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,84.1,81.22,18.2,0.412
monitor-worker-319,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,85.51,80.31,22.34,0.48
monitor-worker-320,control,0.0,0.12,0.18,0,0.63,0.63,75.9,77.4,9.44,0.176
monitor-worker-321,pay_only,0.2,0.12,0.18,0,0.63,0.63,79.5,81.4,9.44,0.226
monitor-worker-322,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,81.8,78.95,14.96,0.364
monitor-worker-323,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,85.9,83.3,15.2,0.412
monitor-worker-324,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,87.31,82.39,19.34,0.48
monitor-worker-325,control,0.0,0.12,0.18,0,0.35,0.35,77.7,78.08,10.44,0.176
monitor-worker-326,pay_only,0.2,0.12,0.18,0,0.35,0.35,81.3,82.08,10.44,0.226
monitor-worker-327,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,83.6,79.63,15.96,0.364
monitor-worker-328,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,87.7,83.98,16.2,0.412
monitor-worker-329,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,89.11,83.07,20.34,0.48
monitor-worker-330,control,0.0,0.12,0.18,0,0.42,0.42,79.5,80.16,11.44,0.176
monitor-worker-331,pay_only,0.2,0.12,0.18,0,0.42,0.42,83.1,84.16,11.44,0.226
monitor-worker-332,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,85.4,81.71,16.96,0.364
monitor-worker-333,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,89.5,86.06,17.2,0.412
monitor-worker-334,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,90.91,85.15,21.34,0.48
monitor-worker-335,control,0.0,0.12,0.18,0,0.49,0.49,81.3,82.24,12.44,0.176
monitor-worker-336,pay_only,0.2,0.12,0.18,0,0.49,0.49,84.9,86.24,12.44,0.226
monitor-worker-337,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,87.2,83.79,17.96,0.364
monitor-worker-338,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,91.3,88.14,18.2,0.412
monitor-worker-339,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,92.71,87.23,22.34,0.48
monitor-worker-340,control,0.0,0.12,0.18,0,0.56,0.56,83.1,84.32,9.44,0.176
monitor-worker-341,pay_only,0.2,0.12,0.18,0,0.56,0.56,86.7,88.32,9.44,0.226
monitor-worker-342,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,89.0,85.87,14.96,0.364
monitor-worker-343,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,93.1,90.22,15.2,0.412
monitor-worker-344,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,94.51,89.31,19.34,0.48
monitor-worker-345,control,0.0,0.12,0.18,0,0.63,0.63,84.9,86.4,10.44,0.176
monitor-worker-346,pay_only,0.2,0.12,0.18,0,0.63,0.63,88.5,90.4,10.44,0.226
monitor-worker-347,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,90.8,87.95,15.96,0.364
monitor-worker-348,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,94.9,92.3,16.2,0.412
monitor-worker-349,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,96.31,91.39,20.34,0.48
monitor-worker-350,control,0.0,0.12,0.18,0,0.35,0.35,86.7,87.08,11.44,0.176
monitor-worker-351,pay_only,0.2,0.12,0.18,0,0.35,0.35,90.3,91.08,11.44,0.226
monitor-worker-352,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,92.6,88.63,16.96,0.364
monitor-worker-353,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,96.7,92.98,17.2,0.412
monitor-worker-354,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,98.11,92.07,21.34,0.48
monitor-worker-355,control,0.0,0.12,0.18,0,0.42,0.42,88.5,89.16,12.44,0.176
monitor-worker-356,pay_only,0.2,0.12,0.18,0,0.42,0.42,92.1,93.16,12.44,0.226
monitor-worker-357,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,94.4,90.71,17.96,0.364
monitor-worker-358,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,98.5,95.06,18.2,0.412
monitor-worker-359,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,99.91,94.15,22.34,0.48
monitor-worker-360,control,0.0,0.12,0.18,0,0.49,0.49,74.1,75.04,9.44,0.176
monitor-worker-361,pay_only,0.2,0.12,0.18,0,0.49,0.49,77.7,79.04,9.44,0.226
monitor-worker-362,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,80.0,76.59,14.96,0.364
monitor-worker-363,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,84.1,80.94,15.2,0.412
monitor-worker-364,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,85.51,80.03,19.34,0.48
monitor-worker-365,control,0.0,0.12,0.18,0,0.56,0.56,75.9,77.12,10.44,0.176
monitor-worker-366,pay_only,0.2,0.12,0.18,0,0.56,0.56,79.5,81.12,10.44,0.226
monitor-worker-367,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,81.8,78.67,15.96,0.364
monitor-worker-368,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,85.9,83.02,16.2,0.412
monitor-worker-369,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,87.31,82.11,20.34,0.48
monitor-worker-370,control,0.0,0.12,0.18,0,0.63,0.63,77.7,79.2,11.44,0.176
monitor-worker-371,pay_only,0.2,0.12,0.18,0,0.63,0.63,81.3,83.2,11.44,0.226
monitor-worker-372,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,83.6,80.75,16.96,0.364
monitor-worker-373,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,87.7,85.1,17.2,0.412
monitor-worker-374,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,89.11,84.19,21.34,0.48
monitor-worker-375,control,0.0,0.12,0.18,0,0.35,0.35,79.5,79.88,12.44,0.176
monitor-worker-376,pay_only,0.2,0.12,0.18,0,0.35,0.35,83.1,83.88,12.44,0.226
monitor-worker-377,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,85.4,81.43,17.96,0.364
monitor-worker-378,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,89.5,85.78,18.2,0.412
monitor-worker-379,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,90.91,84.87,22.34,0.48
monitor-worker-380,control,0.0,0.12,0.18,0,0.42,0.42,81.3,81.96,9.44,0.176
monitor-worker-381,pay_only,0.2,0.12,0.18,0,0.42,0.42,84.9,85.96,9.44,0.226
monitor-worker-382,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,87.2,83.51,14.96,0.364
monitor-worker-383,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,91.3,87.86,15.2,0.412
monitor-worker-384,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,92.71,86.95,19.34,0.48
monitor-worker-385,control,0.0,0.12,0.18,0,0.49,0.49,83.1,84.04,10.44,0.176
monitor-worker-386,pay_only,0.2,0.12,0.18,0,0.49,0.49,86.7,88.04,10.44,0.226
monitor-worker-387,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,89.0,85.59,15.96,0.364
monitor-worker-388,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,93.1,89.94,16.2,0.412
monitor-worker-389,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,94.51,89.03,20.34,0.48
monitor-worker-390,control,0.0,0.12,0.18,0,0.56,0.56,84.9,86.12,11.44,0.176
monitor-worker-391,pay_only,0.2,0.12,0.18,0,0.56,0.56,88.5,90.12,11.44,0.226
monitor-worker-392,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,90.8,87.67,16.96,0.364
monitor-worker-393,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,94.9,92.02,17.2,0.412
monitor-worker-394,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,96.31,91.11,21.34,0.48
monitor-worker-395,control,0.0,0.12,0.18,0,0.63,0.63,86.7,88.2,12.44,0.176
monitor-worker-396,pay_only,0.2,0.12,0.18,0,0.63,0.63,90.3,92.2,12.44,0.226
monitor-worker-397,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,92.6,89.75,17.96,0.364
monitor-worker-398,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,96.7,94.1,18.2,0.412
monitor-worker-399,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,98.11,93.19,22.34,0.48
monitor-worker-400,control,0.0,0.12,0.18,0,0.35,0.35,88.5,88.88,9.44,0.176
monitor-worker-401,pay_only,0.2,0.12,0.18,0,0.35,0.35,92.1,92.88,9.44,0.226
monitor-worker-402,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,94.4,90.43,14.96,0.364
monitor-worker-403,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,98.5,94.78,15.2,0.412
monitor-worker-404,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,99.91,93.87,19.34,0.48
monitor-worker-405,control,0.0,0.12,0.18,0,0.42,0.42,74.1,74.76,10.44,0.176
monitor-worker-406,pay_only,0.2,0.12,0.18,0,0.42,0.42,77.7,78.76,10.44,0.226
monitor-worker-407,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,80.0,76.31,15.96,0.364
monitor-worker-408,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,84.1,80.66,16.2,0.412
monitor-worker-409,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,85.51,79.75,20.34,0.48
monitor-worker-410,control,0.0,0.12,0.18,0,0.49,0.49,75.9,76.84,11.44,0.176
monitor-worker-411,pay_only,0.2,0.12,0.18,0,0.49,0.49,79.5,80.84,11.44,0.226
monitor-worker-412,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,81.8,78.39,16.96,0.364
monitor-worker-413,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,85.9,82.74,17.2,0.412
monitor-worker-414,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,87.31,81.83,21.34,0.48
monitor-worker-415,control,0.0,0.12,0.18,0,0.56,0.56,77.7,78.92,12.44,0.176
monitor-worker-416,pay_only,0.2,0.12,0.18,0,0.56,0.56,81.3,82.92,12.44,0.226
monitor-worker-417,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,83.6,80.47,17.96,0.364
monitor-worker-418,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,87.7,84.82,18.2,0.412
monitor-worker-419,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,89.11,83.91,22.34,0.48
monitor-worker-420,control,0.0,0.12,0.18,0,0.63,0.63,79.5,81.0,9.44,0.176
monitor-worker-421,pay_only,0.2,0.12,0.18,0,0.63,0.63,83.1,85.0,9.44,0.226
monitor-worker-422,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,85.4,82.55,14.96,0.364
monitor-worker-423,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,89.5,86.9,15.2,0.412
monitor-worker-424,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,90.91,85.99,19.34,0.48
monitor-worker-425,control,0.0,0.12,0.18,0,0.35,0.35,81.3,81.68,10.44,0.176
monitor-worker-426,pay_only,0.2,0.12,0.18,0,0.35,0.35,84.9,85.68,10.44,0.226
monitor-worker-427,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,87.2,83.23,15.96,0.364
monitor-worker-428,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,91.3,87.58,16.2,0.412
monitor-worker-429,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,92.71,86.67,20.34,0.48
monitor-worker-430,control,0.0,0.12,0.18,0,0.42,0.42,83.1,83.76,11.44,0.176
monitor-worker-431,pay_only,0.2,0.12,0.18,0,0.42,0.42,86.7,87.76,11.44,0.226
monitor-worker-432,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,89.0,85.31,16.96,0.364
monitor-worker-433,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,93.1,89.66,17.2,0.412
monitor-worker-434,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,94.51,88.75,21.34,0.48
monitor-worker-435,control,0.0,0.12,0.18,0,0.49,0.49,84.9,85.84,12.44,0.176
monitor-worker-436,pay_only,0.2,0.12,0.18,0,0.49,0.49,88.5,89.84,12.44,0.226
monitor-worker-437,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,90.8,87.39,17.96,0.364
monitor-worker-438,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,94.9,91.74,18.2,0.412
monitor-worker-439,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,96.31,90.83,22.34,0.48
monitor-worker-440,control,0.0,0.12,0.18,0,0.56,0.56,86.7,87.92,9.44,0.176
monitor-worker-441,pay_only,0.2,0.12,0.18,0,0.56,0.56,90.3,91.92,9.44,0.226
monitor-worker-442,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,92.6,89.47,14.96,0.364
monitor-worker-443,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,96.7,93.82,15.2,0.412
monitor-worker-444,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,98.11,92.91,19.34,0.48
monitor-worker-445,control,0.0,0.12,0.18,0,0.63,0.63,88.5,90.0,10.44,0.176
monitor-worker-446,pay_only,0.2,0.12,0.18,0,0.63,0.63,92.1,94.0,10.44,0.226
monitor-worker-447,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,94.4,91.55,15.96,0.364
monitor-worker-448,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,98.5,95.9,16.2,0.412
monitor-worker-449,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,99.91,94.99,20.34,0.48
monitor-worker-450,control,0.0,0.12,0.18,0,0.35,0.35,74.1,74.48,11.44,0.176
monitor-worker-451,pay_only,0.2,0.12,0.18,0,0.35,0.35,77.7,78.48,11.44,0.226
monitor-worker-452,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,80.0,76.03,16.96,0.364
monitor-worker-453,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,84.1,80.38,17.2,0.412
monitor-worker-454,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,85.51,79.47,21.34,0.48
monitor-worker-455,control,0.0,0.12,0.18,0,0.42,0.42,75.9,76.56,12.44,0.176
monitor-worker-456,pay_only,0.2,0.12,0.18,0,0.42,0.42,79.5,80.56,12.44,0.226
monitor-worker-457,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,81.8,78.11,17.96,0.364
monitor-worker-458,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,85.9,82.46,18.2,0.412
monitor-worker-459,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,87.31,81.55,22.34,0.48
monitor-worker-460,control,0.0,0.12,0.18,0,0.49,0.49,77.7,78.64,9.44,0.176
monitor-worker-461,pay_only,0.2,0.12,0.18,0,0.49,0.49,81.3,82.64,9.44,0.226
monitor-worker-462,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,83.6,80.19,14.96,0.364
monitor-worker-463,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,87.7,84.54,15.2,0.412
monitor-worker-464,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,89.11,83.63,19.34,0.48
monitor-worker-465,control,0.0,0.12,0.18,0,0.56,0.56,79.5,80.72,10.44,0.176
monitor-worker-466,pay_only,0.2,0.12,0.18,0,0.56,0.56,83.1,84.72,10.44,0.226
monitor-worker-467,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,85.4,82.27,15.96,0.364
monitor-worker-468,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,89.5,86.62,16.2,0.412
monitor-worker-469,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,90.91,85.71,20.34,0.48
monitor-worker-470,control,0.0,0.12,0.18,0,0.63,0.63,81.3,82.8,11.44,0.176
monitor-worker-471,pay_only,0.2,0.12,0.18,0,0.63,0.63,84.9,86.8,11.44,0.226
monitor-worker-472,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,87.2,84.35,16.96,0.364
monitor-worker-473,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,91.3,88.7,17.2,0.412
monitor-worker-474,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,92.71,87.79,21.34,0.48
monitor-worker-475,control,0.0,0.12,0.18,0,0.35,0.35,83.1,83.48,12.44,0.176
monitor-worker-476,pay_only,0.2,0.12,0.18,0,0.35,0.35,86.7,87.48,12.44,0.226
monitor-worker-477,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,89.0,85.03,17.96,0.364
monitor-worker-478,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,93.1,89.38,18.2,0.412
monitor-worker-479,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,94.51,88.47,22.34,0.48
monitor-worker-480,control,0.0,0.12,0.18,0,0.42,0.42,84.9,85.56,9.44,0.176
monitor-worker-481,pay_only,0.2,0.12,0.18,0,0.42,0.42,88.5,89.56,9.44,0.226
monitor-worker-482,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,90.8,87.11,14.96,0.364
monitor-worker-483,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,94.9,91.46,15.2,0.412
monitor-worker-484,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,96.31,90.55,19.34,0.48
monitor-worker-485,control,0.0,0.12,0.18,0,0.49,0.49,86.7,87.64,10.44,0.176
monitor-worker-486,pay_only,0.2,0.12,0.18,0,0.49,0.49,90.3,91.64,10.44,0.226
monitor-worker-487,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,92.6,89.19,15.96,0.364
monitor-worker-488,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,96.7,93.54,16.2,0.412
monitor-worker-489,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,98.11,92.63,20.34,0.48
monitor-worker-490,control,0.0,0.12,0.18,0,0.56,0.56,88.5,89.72,11.44,0.176
monitor-worker-491,pay_only,0.2,0.12,0.18,0,0.56,0.56,92.1,93.72,11.44,0.226
monitor-worker-492,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,94.4,91.27,16.96,0.364
monitor-worker-493,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,98.5,95.62,17.2,0.412
monitor-worker-494,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,99.91,94.71,21.34,0.48
monitor-worker-495,control,0.0,0.12,0.18,0,0.63,0.63,74.1,75.6,12.44,0.176
monitor-worker-496,pay_only,0.2,0.12,0.18,0,0.63,0.63,77.7,79.6,12.44,0.226
monitor-worker-497,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,80.0,77.15,17.96,0.364
monitor-worker-498,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,84.1,81.5,18.2,0.412
monitor-worker-499,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,85.51,80.59,22.34,0.48
