worker_id,establishment_id,sector,won_recognition,incumbent_worker,skill_index,pre_wage_index,post_wage_index,wage_change,separated_within_two_years,grievance_channel_index
est-034-w05,est-034,warehouse,0,1,0.587,1.166,1.188,0.021,0,0.289
est-034-w06,est-034,warehouse,0,1,0.387,1.166,1.188,0.021,1,0.289
est-034-w07,est-034,warehouse,0,1,0.437,1.145,1.167,0.021,0,0.289
est-034-w08,est-034,warehouse,0,0,0.487,1.16,1.172,0.011,0,0.289
est-034-w09,est-034,warehouse,0,0,0.537,1.175,1.187,0.011,1,0.289
est-034-w10,est-034,warehouse,0,0,0.587,1.154,1.166,0.011,0,0.289
est-035-w01,est-035,hotel,1,1,0.382,1.044,1.084,0.04,0,0.718
est-035-w02,est-035,hotel,1,1,0.432,1.059,1.099,0.04,0,0.718
est-035-w03,est-035,hotel,1,1,0.482,1.074,1.114,0.04,0,0.718
est-035-w04,est-035,hotel,1,1,0.532,1.053,1.093,0.04,1,0.718
est-035-w05,est-035,hotel,1,1,0.582,1.068,1.108,0.04,0,0.718
est-035-w06,est-035,hotel,1,1,0.382,1.068,1.108,0.04,0,0.718
est-035-w07,est-035,hotel,1,1,0.432,1.047,1.087,0.04,1,0.718
est-035-w08,est-035,hotel,1,0,0.482,1.062,1.092,0.03,0,0.718
est-035-w09,est-035,hotel,1,0,0.532,1.077,1.107,0.03,0,0.718
est-035-w10,est-035,hotel,1,0,0.582,1.056,1.086,0.03,0,0.718
est-036-w01,est-036,food_processing,1,1,0.375,1.085,1.126,0.041,0,0.73
est-036-w02,est-036,food_processing,1,1,0.425,1.1,1.141,0.041,0,0.73
est-036-w03,est-036,food_processing,1,1,0.475,1.115,1.156,0.041,0,0.73
est-036-w04,est-036,food_processing,1,1,0.525,1.094,1.135,0.041,0,0.73
est-036-w05,est-036,food_processing,1,1,0.575,1.109,1.15,0.041,1,0.73
est-036-w06,est-036,food_processing,1,1,0.375,1.109,1.15,0.041,0,0.73
est-036-w07,est-036,food_processing,1,1,0.425,1.088,1.129,0.041,0,0.73
est-036-w08,est-036,food_processing,1,0,0.475,1.103,1.134,0.031,1,0.73
est-036-w09,est-036,food_processing,1,0,0.525,1.118,1.149,0.031,0,0.73
est-036-w10,est-036,food_processing,1,0,0.575,1.097,1.128,0.031,0,0.73
est-037-w01,est-037,nursing_home,0,1,0.366,1.019,1.042,0.023,0,0.319
est-037-w02,est-037,nursing_home,0,1,0.416,1.034,1.057,0.023,0,0.319
est-037-w03,est-037,nursing_home,0,1,0.466,1.049,1.072,0.023,1,0.319
est-037-w04,est-037,nursing_home,0,1,0.516,1.028,1.051,0.023,0,0.319
est-037-w05,est-037,nursing_home,0,1,0.566,1.043,1.066,0.023,0,0.319
est-037-w06,est-037,nursing_home,0,1,0.366,1.043,1.066,0.023,1,0.319
est-037-w07,est-037,nursing_home,0,1,0.416,1.022,1.045,0.023,0,0.319
est-037-w08,est-037,nursing_home,0,0,0.466,1.037,1.05,0.013,0,0.319
est-037-w09,est-037,nursing_home,0,0,0.516,1.052,1.065,0.013,0,0.319
est-037-w10,est-037,nursing_home,0,0,0.566,1.031,1.044,0.013,0,0.319
est-038-w01,est-038,retail,0,1,0.357,0.989,1.011,0.021,1,0.289
est-038-w02,est-038,retail,0,1,0.407,1.004,1.026,0.021,0,0.289
est-038-w03,est-038,retail,0,1,0.457,1.019,1.041,0.021,0,0.289
est-038-w04,est-038,retail,0,1,0.507,0.998,1.02,0.021,1,0.289
est-038-w05,est-038,retail,0,1,0.557,1.013,1.035,0.021,0,0.289
est-038-w06,est-038,retail,0,1,0.357,1.013,1.035,0.021,0,0.289
est-038-w07,est-038,retail,0,1,0.407,0.992,1.014,0.021,0,0.289
est-038-w08,est-038,retail,0,0,0.457,1.007,1.019,0.011,0,0.289
est-038-w09,est-038,retail,0,0,0.507,1.022,1.034,0.011,0,0.289
est-038-w10,est-038,retail,0,0,0.557,1.001,1.013,0.011,0,0.289
est-039-w01,est-039,transport,1,1,0.347,1.17,1.211,0.041,0,0.731
est-039-w02,est-039,transport,1,1,0.397,1.185,1.226,0.041,1,0.731
est-039-w03,est-039,transport,1,1,0.447,1.2,1.241,0.041,0,0.731
est-039-w04,est-039,transport,1,1,0.497,1.179,1.22,0.041,0,0.731
est-039-w05,est-039,transport,1,1,0.547,1.194,1.235,0.041,0,0.731
est-039-w06,est-039,transport,1,1,0.347,1.194,1.235,0.041,0,0.731
est-039-w07,est-039,transport,1,1,0.397,1.173,1.214,0.041,0,0.731
est-039-w08,est-039,transport,1,0,0.447,1.188,1.219,0.031,0,0.731
est-039-w09,est-039,transport,1,0,0.497,1.203,1.234,0.031,0,0.731
est-039-w10,est-039,transport,1,0,0.547,1.182,1.213,0.031,1,0.731
est-040-w01,est-040,manufacturing,0,1,0.337,1.184,1.206,0.022,0,0.303
est-040-w02,est-040,manufacturing,0,1,0.387,1.199,1.221,0.022,0,0.303
est-040-w03,est-040,manufacturing,0,1,0.437,1.214,1.236,0.022,1,0.303
est-040-w04,est-040,manufacturing,0,1,0.487,1.193,1.215,0.022,0,0.303
est-040-w05,est-040,manufacturing,0,1,0.537,1.208,1.23,0.022,0,0.303
est-040-w06,est-040,manufacturing,0,1,0.337,1.208,1.23,0.022,0,0.303
est-040-w07,est-040,manufacturing,0,1,0.387,1.187,1.209,0.022,0,0.303
est-040-w08,est-040,manufacturing,0,0,0.437,1.202,1.214,0.012,1,0.303
est-040-w09,est-040,manufacturing,0,0,0.487,1.217,1.229,0.012,0,0.303
est-040-w10,est-040,manufacturing,0,0,0.537,1.196,1.208,0.012,0,0.303
est-041-w01,est-041,hospital,0,1,0.328,1.25,1.273,0.024,1,0.319
est-041-w02,est-041,hospital,0,1,0.378,1.265,1.288,0.024,0,0.319
est-041-w03,est-041,hospital,0,1,0.428,1.28,1.303,0.024,0,0.319
est-041-w04,est-041,hospital,0,1,0.478,1.259,1.282,0.024,0,0.319
est-041-w05,est-041,hospital,0,1,0.528,1.274,1.297,0.024,0,0.319
est-041-w06,est-041,hospital,0,1,0.328,1.274,1.297,0.024,0,0.319
est-041-w07,est-041,hospital,0,1,0.378,1.253,1.276,0.024,0,0.319
est-041-w08,est-041,hospital,0,0,0.428,1.268,1.281,0.014,0,0.319
est-041-w09,est-041,hospital,0,0,0.478,1.283,1.296,0.014,1,0.319
est-041-w10,est-041,hospital,0,0,0.528,1.262,1.275,0.014,0,0.319
est-042-w01,est-042,warehouse,1,1,0.321,1.158,1.198,0.04,0,0.724
est-042-w02,est-042,warehouse,1,1,0.371,1.173,1.213,0.04,0,0.724
est-042-w03,est-042,warehouse,1,1,0.421,1.188,1.228,0.04,0,0.724
est-042-w04,est-042,warehouse,1,1,0.471,1.167,1.207,0.04,0,0.724
est-042-w05,est-042,warehouse,1,1,0.521,1.182,1.222,0.04,0,0.724
est-042-w06,est-042,warehouse,1,1,0.321,1.182,1.222,0.04,0,0.724
est-042-w07,est-042,warehouse,1,1,0.371,1.161,1.201,0.04,1,0.724
est-042-w08,est-042,warehouse,1,0,0.421,1.176,1.206,0.03,0,0.724
est-042-w09,est-042,warehouse,1,0,0.471,1.191,1.221,0.03,0,0.724
est-042-w10,est-042,warehouse,1,0,0.521,1.17,1.2,0.03,1,0.724
est-043-w01,est-043,hotel,1,1,0.315,1.061,1.102,0.041,0,0.733
est-043-w02,est-043,hotel,1,1,0.365,1.076,1.117,0.041,0,0.733
est-043-w03,est-043,hotel,1,1,0.415,1.091,1.132,0.041,0,0.733
est-043-w04,est-043,hotel,1,1,0.465,1.07,1.111,0.041,0,0.733
est-043-w05,est-043,hotel,1,1,0.515,1.085,1.126,0.041,0,0.733
est-043-w06,est-043,hotel,1,1,0.315,1.085,1.126,0.041,0,0.733
est-043-w07,est-043,hotel,1,1,0.365,1.064,1.105,0.041,0,0.733
est-043-w08,est-043,hotel,1,0,0.415,1.079,1.11,0.031,1,0.733
est-043-w09,est-043,hotel,1,0,0.465,1.094,1.125,0.031,0,0.733
est-043-w10,est-043,hotel,1,0,0.515,1.073,1.104,0.031,0,0.733
est-044-w01,est-044,food_processing,0,1,0.311,1.104,1.127,0.024,1,0.324
est-044-w02,est-044,food_processing,0,1,0.361,1.119,1.142,0.024,0,0.324
est-044-w03,est-044,food_processing,0,1,0.411,1.134,1.157,0.024,0,0.324
est-044-w04,est-044,food_processing,0,1,0.461,1.113,1.136,0.024,0,0.324
est-044-w05,est-044,food_processing,0,1,0.511,1.128,1.151,0.024,0,0.324
est-044-w06,est-044,food_processing,0,1,0.311,1.128,1.151,0.024,1,0.324
est-044-w07,est-044,food_processing,0,1,0.361,1.107,1.13,0.024,0,0.324
est-044-w08,est-044,food_processing,0,0,0.411,1.122,1.135,0.014,0,0.324
est-044-w09,est-044,food_processing,0,0,0.461,1.137,1.15,0.014,1,0.324
est-044-w10,est-044,food_processing,0,0,0.511,1.116,1.129,0.014,0,0.324
est-045-w01,est-045,nursing_home,1,1,0.31,1.038,1.08,0.042,0,0.75
est-045-w02,est-045,nursing_home,1,1,0.36,1.053,1.095,0.042,0,0.75
est-045-w03,est-045,nursing_home,1,1,0.41,1.068,1.11,0.042,0,0.75
est-045-w04,est-045,nursing_home,1,1,0.46,1.047,1.089,0.042,1,0.75
est-045-w05,est-045,nursing_home,1,1,0.51,1.062,1.104,0.042,0,0.75
est-045-w06,est-045,nursing_home,1,1,0.31,1.062,1.104,0.042,0,0.75
est-045-w07,est-045,nursing_home,1,1,0.36,1.041,1.083,0.042,1,0.75
est-045-w08,est-045,nursing_home,1,0,0.41,1.056,1.088,0.032,0,0.75
est-045-w09,est-045,nursing_home,1,0,0.46,1.071,1.103,0.032,0,0.75
est-045-w10,est-045,nursing_home,1,0,0.51,1.05,1.082,0.032,0,0.75
est-046-w01,est-046,retail,1,1,0.311,1.01,1.049,0.04,0,0.717
est-046-w02,est-046,retail,1,1,0.361,1.025,1.064,0.04,0,0.717
est-046-w03,est-046,retail,1,1,0.411,1.04,1.079,0.04,0,0.717
est-046-w04,est-046,retail,1,1,0.461,1.019,1.058,0.04,0,0.717
est-046-w05,est-046,retail,1,1,0.511,1.034,1.073,0.04,1,0.717
est-046-w06,est-046,retail,1,1,0.311,1.034,1.073,0.04,0,0.717
est-046-w07,est-046,retail,1,1,0.361,1.013,1.052,0.04,0,0.717
est-046-w08,est-046,retail,1,0,0.411,1.028,1.057,0.03,1,0.717
est-046-w09,est-046,retail,1,0,0.461,1.043,1.072,0.03,0,0.717
est-046-w10,est-046,retail,1,0,0.511,1.022,1.051,0.03,0,0.717
est-047-w01,est-047,transport,1,1,0.315,1.191,1.232,0.041,0,0.735
est-047-w02,est-047,transport,1,1,0.365,1.206,1.247,0.041,0,0.735
est-047-w03,est-047,transport,1,1,0.415,1.221,1.262,0.041,1,0.735
est-047-w04,est-047,transport,1,1,0.465,1.2,1.241,0.041,0,0.735
est-047-w05,est-047,transport,1,1,0.515,1.215,1.256,0.041,0,0.735
est-047-w06,est-047,transport,1,1,0.315,1.215,1.256,0.041,0,0.735
est-047-w07,est-047,transport,1,1,0.365,1.194,1.235,0.041,0,0.735
est-047-w08,est-047,transport,1,0,0.415,1.209,1.24,0.031,0,0.735
est-047-w09,est-047,transport,1,0,0.465,1.224,1.255,0.031,0,0.735
est-047-w10,est-047,transport,1,0,0.515,1.203,1.234,0.031,0,0.735
est-048-w01,est-048,manufacturing,0,1,0.321,1.206,1.229,0.022,1,0.304
est-048-w02,est-048,manufacturing,0,1,0.371,1.221,1.244,0.022,0,0.304
est-048-w03,est-048,manufacturing,0,1,0.421,1.236,1.259,0.022,0,0.304
est-048-w04,est-048,manufacturing,0,1,0.471,1.215,1.238,0.022,1,0.304
est-048-w05,est-048,manufacturing,0,1,0.521,1.23,1.253,0.022,0,0.304
est-048-w06,est-048,manufacturing,0,1,0.321,1.23,1.253,0.022,0,0.304
est-048-w07,est-048,manufacturing,0,1,0.371,1.209,1.232,0.022,0,0.304
est-048-w08,est-048,manufacturing,0,0,0.421,1.224,1.237,0.012,0,0.304
est-048-w09,est-048,manufacturing,0,0,0.471,1.239,1.252,0.012,0,0.304
est-048-w10,est-048,manufacturing,0,0,0.521,1.218,1.231,0.012,0,0.304
