applicant_id,arm,eligible,prior_awareness,information_index,salience_index,hassle_index,perceived_eligibility,completed_claim,take_up
applicant-390,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-391,information,1,0.55,0.8,0.4,0.62,0.92,1,1
applicant-392,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-393,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-394,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-395,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-396,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-397,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-398,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-399,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
applicant-400,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-401,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-402,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-403,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
applicant-404,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-405,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-406,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-407,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-408,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-409,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-410,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-411,information,1,0.48,0.73,0.4,0.62,0.85,1,1
applicant-412,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-413,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-414,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-415,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-416,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-417,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-418,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-419,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-420,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-421,information,1,0.62,0.87,0.4,0.62,0.98,0,0
applicant-422,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-423,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-424,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-425,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-426,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-427,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-428,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-429,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-430,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-431,information,1,0.41,0.66,0.4,0.62,0.78,1,1
applicant-432,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-433,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-434,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-435,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-436,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-437,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-438,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-439,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
applicant-440,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-441,information,1,0.55,0.8,0.4,0.62,0.92,0,0
applicant-442,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-443,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-444,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-445,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-446,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-447,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-448,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-449,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
applicant-450,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-451,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-452,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-453,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
applicant-454,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-455,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-456,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-457,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-458,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-459,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-460,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-461,information,1,0.48,0.73,0.4,0.62,0.85,0,0
applicant-462,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-463,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-464,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-465,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-466,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-467,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-468,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-469,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-470,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-471,information,1,0.62,0.87,0.4,0.62,0.98,1,0
applicant-472,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-473,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-474,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-475,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-476,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-477,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-478,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-479,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-480,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-481,information,1,0.41,0.66,0.4,0.62,0.78,1,0
applicant-482,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-483,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-484,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-485,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-486,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-487,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-488,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-489,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
applicant-490,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-491,information,1,0.55,0.8,0.4,0.62,0.92,1,1
applicant-492,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-493,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-494,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-495,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-496,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-497,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-498,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-499,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
