mechanism,officer_id,assigned_branch,preference_rank,top_three_assignment,priority_alignment_index,hard_to_staff_index,training_value_index,internal_mobility_value_index,predicted_retention_index,promotion_readiness_index,public_staffing_value_index,worker_welfare_index,transfer_risk_index,outside_option_index
manager_directed,O110,Medical Service,1,1,0.731,0.38,0.76,0.683,0.679,0.776,0.562,0.751,0.379,0.4
manager_directed,O111,Medical Service,1,1,0.676,0.38,0.757,0.731,0.642,0.681,0.569,0.719,0.394,0.47
manager_directed,O112,Engineering,1,1,0.783,0.53,0.789,0.637,0.688,0.752,0.665,0.731,0.395,0.54
manager_directed,O113,Engineering,1,1,0.658,0.53,0.78,0.684,0.641,0.749,0.655,0.696,0.411,0.61
manager_directed,O114,Cyber,1,1,0.757,0.58,0.791,0.734,0.697,0.815,0.715,0.729,0.41,0.68
manager_directed,O115,Logistics,3,1,0.714,0.44,0.613,0.499,0.526,0.675,0.564,0.532,0.526,0.75
manager_directed,O116,Cyber,2,1,0.85,0.58,0.823,0.69,0.685,0.8,0.664,0.73,0.399,0.24
manager_directed,O117,Engineering,4,0,0.691,0.53,0.614,0.451,0.577,0.743,0.629,0.534,0.505,0.31
manager_directed,O118,Medical Service,1,1,0.693,0.38,0.736,0.684,0.682,0.701,0.598,0.73,0.376,0.38
manager_directed,O119,Medical Service,1,1,0.851,0.38,0.797,0.741,0.748,0.792,0.656,0.774,0.374,0.45
manager_directed,O120,Infantry,3,1,0.635,0.7,0.672,0.513,0.633,0.738,0.732,0.594,0.481,0.52
